Name	SugarVsControl	meanSugar	meanControl	tStatistic	tValueSugar	WithinSugar	SugarVsControl_BW	BodyWeightInteraction	BodyWeight	SugarVsControl_FoodIntake	FoodIntakeInteraction	FoodIntake	SugarVsControl_Adj	WithinSugar_Adj	SugarVsControl_BW_Adj	BodyWeightInteraction_Adj	BodyWeight_Adj	SugarVsControl_FoodIntake_Adj	FoodIntakeInteraction_Adj	FoodIntake_Adj	BodyWeightSugarEstimate	BodyWeightSugarInteractionEstimate	FoodIntakeSugarEstimate	FoodIntakeSugarInteractionEstimate
Actinomycetales	0.00101985046581026	0.723659508971062	0.252488423794463	3.78018983069443	-0.45617616633473	0.651548654104935	0.00434000185541068	0.79140920003373	0.827115009703461	0.00421567859530851	0.545216696070683	0.884074373138951	0.00364232309217951	0.814398980051592	0.0217000092770534	0.959704125050732	0.899038054025501	0.0210783929765425	0.801789258927475	0.884074373138951	0.00245792717524427	-0.00215869247077829	0.0168885799194772	-0.0260567130076252
Anaeroplasmatales	0.775599267798408	0.820976674821536	0.858323438078356	-0.289474734649246	0.759688582505549	0.453369540169047	0.796803387486299	0.649182504250205	0.699318481649411	0.783696511427286	0.0594167541839792	0.184203683663693	0.823238107338575	0.814398980051592	0.829249968194132	0.959704125050732	0.899038054025501	0.8340911331529	0.280192650715874	0.576585258200677	-0.00172968953309801	0.00344631953458115	-0.0326888771122067	0.0724123840022111
Bacillales	0.823238107338575	0.202456886779103	0.227141669053508	-0.227261371657532	-0.22540991929549	0.82318890697396	0.813877745493053	0.0283290531590651	0.327920415208813	0.814808383807283	0.028161177175785	0.474729379546771	0.823238107338575	0.857488444764541	0.829249968194132	0.708226328976627	0.737963360842336	0.8340911331529	0.176007357348656	0.659346360481627	0.00816703355833359	-0.0123869365596458	0.0405445963425393	-0.0658852915042304
Bacteroidales	0.820199275701236	4.12688726926078	4.11853665560833	0.230866357726011	0.608327298936634	0.547548957405788	0.829249968194132	0.358894056929563	0.230595967440984	0.8340911331529	0.859828614984671	0.874507500553516	0.823238107338575	0.814398980051592	0.829249968194132	0.959704125050732	0.729423565549267	0.8340911331529	0.895654807275699	0.884074373138951	0.00246660927541378	-0.00186368797929416	0.00221018740888133	-0.00194181084474522
Bdellovibrionales	0.40463562727508	0.143893769973802	0.216747690117765	-0.857735576271446	0.135962917019671	0.892758855295786	0.376738733748653	0.163902984637298	0.103759698499582	0.394571660692592	0.367995216162499	0.365626494145245	0.532415299046158	0.892758855295786	0.495708860195596	0.959704125050732	0.729423565549267	0.51917323775341	0.613325360270832	0.576585258200677	-0.00228144375714316	0.00603386165572327	-0.00676071415899534	0.0212615525534613
Bifidobacteriales	0.000144305167323617	1.74725300029093	0.612509907279153	4.48732802425729	1.43391771076782	0.161937426618758	0.00122423607146881	0.300387429318179	0.757056310626388	0.00121296218253509	0.277945174146803	0.805833342050479	0.00120254306103014	0.80968713309379	0.00765147544668004	0.959704125050732	0.899038054025501	0.00758101364084429	0.599682736813394	0.884074373138951	-0.0126639078685914	0.0177915849734068	-0.0645064252916893	0.0985009435855877
Burkholderiales	0.0191171260978284	2.57040884671222	2.17434610354508	2.58573000521738	-0.369809463829765	0.714122327946725	0.0229784490807472	0.861164749849093	0.292060369435947	0.0192864946878646	0.764570049937469	0.0665945593844977	0.047792815244571	0.814398980051592	0.0664162670178555	0.97224854215626	0.730150923589868	0.0535735963551794	0.877648485013834	0.576585258200677	0.00480989338443616	-0.00153568648881084	-0.0263203486606357	-0.0134845051756386
Clostridiales	0.125925614032803	4.07703368645005	4.13304683647314	-1.60810316976876	-0.618684404789677	0.540793917050601	0.13914490980798	0.554476312660279	0.0902677629988243	0.154930373300771	0.701715973468208	0.853371778696404	0.185184726518828	0.814398980051592	0.193256819177751	0.959704125050732	0.729423565549267	0.215181074028849	0.877648485013834	0.884074373138951	-0.00223050081038362	0.00115387781585367	-0.00223411857398892	0.00410863402298756
Coriobacteriales	0.00701630817402065	1.83989410713355	1.64249213212461	2.95248669384189	-0.531759002694297	0.598808965801679	0.023909856126428	0.228805125934016	0.710774016633094	0.0168007188891036	0.0186057867524938	0.39207797557646	0.0219259630438145	0.814398980051592	0.0664162670178555	0.959704125050732	0.899038054025501	0.0525022465284488	0.155048222937448	0.576585258200677	-0.00379412202768391	0.00535519000696387	-0.0321130842110915	0.0535264425692594
Cytophagales	0.701947634014538	0.351300101127991	0.386678114092603	-0.389521910553289	-0.804323400833152	0.427538399852269	0.715950837641383	0.935981929763723	0.380359349146255	0.711533454038331	0.772330666812174	0.167030895662151	0.797667765925612	0.814398980051592	0.813580497319753	0.974981176837211	0.737963360842336	0.808560743225377	0.877648485013834	0.576585258200677	-0.00136390585510643	-0.000407175635551257	0.0101953519515068	0.00763229954579978
Deferribacterales	0.0180257047972997	1.27614567888224	1.76943456699412	-2.67824962331829	-0.366355304729117	0.7166711024454	0.00823267812635321	0.448055343134935	0.46156056341027	0.00733318805943634	0.301805787233027	0.257370784005813	0.047792815244571	0.814398980051592	0.0343028255264717	0.959704125050732	0.779793756965662	0.0305549502476514	0.599682736813394	0.576585258200677	-0.00844776149764583	0.00707745991700687	-0.0139554177925999	0.0502703634365807
