Name	SugarVsControl	meanSugar	meanControl	tStatistic	tValueSugar	WithinSugar	SugarVsControl_BW	BodyWeightInteraction	BodyWeight	SugarVsControl_FoodIntake	FoodIntakeInteraction	FoodIntake	SugarVsControl_Adj	WithinSugar_Adj	SugarVsControl_BW_Adj	BodyWeightInteraction_Adj	BodyWeight_Adj	SugarVsControl_FoodIntake_Adj	FoodIntakeInteraction_Adj	FoodIntake_Adj	BodyWeightSugarEstimate	BodyWeightSugarInteractionEstimate	FoodIntakeSugarEstimate	FoodIntakeSugarInteractionEstimate
Bifidobacteriaceae	0.000139654985744228	1.62138922706375	0.462217501331176	4.50304254314365	1.45336795485145	0.156503173578504	0.00114189238367516	0.255036445077099	0.879174841470636	0.00117410277916273	0.295663186241844	0.902261343554375	0.00109607929420744	0.630287594556816	0.0055667253704164	0.991469834211659	0.967941125692872	0.00572375104841832	0.848076368042997	0.994933117796316	-0.0153813739425688	0.0198651952111824	-0.0677910407693112	0.0966170331088948
Desulfovibrionaceae	0.485094337960565	1.77426522697833	1.87754285849365	-0.717720984300917	-0.285753667599489	0.777030645670911	0.445299457600604	0.391609563809062	0.277595181745595	0.445043936704392	0.3291724464026	0.316000251601506	0.563906021403473	0.865834148033301	0.542708713950736	0.991469834211659	0.859942264479752	0.542397297858478	0.855848360646759	0.820076646997522	-0.00792030102936357	0.00605521529506979	-0.0112407701650717	0.0364882254687724
Bacteroidaceae	0.00030622522322632	3.30804100268804	3.10525878928454	4.38857039864227	0.1592569233092	0.874533810190097	0.000437403912738433	0.161176789470192	0.616567178773848	0.000391764071958725	0.0919386777656834	0.757185713132187	0.00157092371646688	0.897547857826678	0.00243696465668555	0.991469834211659	0.935766324112983	0.00218268554377004	0.442751816617383	0.966977784393109	0.00376501517804846	-0.00392599273697192	0.0167646829814589	-0.0248656700396672
Prevotellaceae	8.1575071036712e-06	3.28841381736281	3.65337191215292	-5.55485856855321	-0.83368481880867	0.411047602102501	0.000113472556607891	0.680503674847529	0.183576132004778	0.000157317814876466	0.915397311117114	0.922895601070889	0.000159071388521588	0.708847114230285	0.000885085941541548	0.991469834211659	0.859942264479752	0.00102256579669703	0.967506456224427	0.994933117796316	0.00379343950044648	-0.00183621036208594	0.000919983432602571	-0.00256586336552483
Porphyromonadaceae	0.000838572772613238	2.17106157037106	1.84368366337174	4.23142228913792	-1.25185685177464	0.220294947231414	6.37815879763621e-05	0.10858287306334	0.77911090665721	3.59342084471173e-05	0.220630565167056	0.0367639718475813	0.00272536151099302	0.645547793007807	0.000829160643692708	0.991469834211659	0.935766324112983	0.000467144709812525	0.782235640137744	0.392267948667277	0.00556092376341107	-0.00624812185401168	3.25471834212673e-05	-0.0240316175191456
Coriobacteriaceae	0.0686432211184537	1.56875361498329	1.42092517311089	1.91335490234094	-0.80802056795677	0.425439862556445	0.126598204352549	0.228100999780108	0.730417052988121	0.109272434834619	0.0292855243179799	0.464048665898801	0.129751799682514	0.708847114230285	0.209017417430687	0.991469834211659	0.935766324112983	0.185288041676093	0.338560801830553	0.820076646997522	-0.00433751317981559	0.00605041375420185	-0.0344121715738399	0.0563229028454177
S24_7	0.210604788561426	3.60783035670121	3.54334794514935	1.31705437017922	0.573177164456732	0.570796578478129	0.156404568883699	0.578665832270249	0.475006404942197	0.158434802837131	0.670400616673632	0.611450012719861	0.2933423840677	0.786643492907765	0.234606853325549	0.991469834211659	0.935766324112983	0.237652204255696	0.921583090595793	0.883205573928687	0.00171353517419972	-0.00130359793050269	0.00672267029022114	-0.00530291112450497
Victivallaceae	4.69443299845582e-05	0.417430950484528	0.0569241372802003	4.56420089779472	0.0122352844229993	0.990318904980534	0.007783375382836	0.961577664165444	0.330747024799905	0.00812299670397827	0.779801076657979	0.514788608984969	0.000610276289799256	0.990318904980534	0.0275956036300549	0.991469834211659	0.859942264479752	0.028799715586832	0.921583090595793	0.820076646997522	0.00277579604822828	-0.000324633043411371	0.00257111627274111	0.0100231132592746
Lachnospiraceae	0.226639915397475	2.69596116434904	2.83955350286604	-1.27485452990826	-0.989691204322951	0.330240761917153	0.139316199646649	0.886408486163945	0.361258286412594	0.136712828209733	0.371640747650518	0.447207878803989	0.304791610362121	0.699862687671333	0.217333271448772	0.991469834211659	0.880567073130699	0.213272012007184	0.905874322398138	0.820076646997522	-0.00233236322786501	0.00071365577953545	-0.00907132988288538	0.0235540112121847
Aerococcaceae	0.000813839822613265	0.151791729211732	0	3.70920892939071	0.476032266687497	0.637499919743666	0.048728952746616	0.643408853124504	0.317944577195073	0.0516148243602435	0.81754077917618	0.688089043598319	0.00272536151099302	0.802016028064613	0.105579397617668	0.991469834211659	0.859942264479752	0.118213601983289	0.937767364349147	0.934581020020586	2.27474242417263e-17	0.00181523305995519	-3.5934160382252e-17	-0.00484022018035225
Lactobacillaceae	0.000377330619763375	2.7060913540595	2.27479350997176	4.52767491461667	1.79304664658748	0.0830540430977153	9.38012238079011e-05	0.771598333199176	0.808815626673534	5.10392179052614e-05	0.102173496142473	0.349785941652993	0.00163509935230796	0.630287594556816	0.000885085941541548	0.991469834211659	0.935766324112983	0.000497632374576299	0.442751816617383	0.820076646997522	-0.000765130613955705	0.00150692362576258	-0.0221656194505055	0.0436416455630516
Pseudomonadaceae	0.00151910001552537	0.349940985735688	0.0866979787571154	3.42024021340081	-0.205565245212755	0.838519090066378	0.0330037657304389	0.986299352807806	0.683587203721017	0.0276723954941293	0.396334810599791	0.151433149455118	0.00423177861467781	0.897547857826678	0.0843775357901048	0.991469834211659	0.935766324112983	0.0719482282847361	0.909238683140697	0.804806215016795	0.00105814312882818	-0.000107314831220557	0.000409544805534734	-0.0272036042990153
Alcaligenaceae	0.0170833379074509	2.39560880162757	1.98088839100502	2.63054065054773	-0.41961594657296	0.677755884297196	0.0233082988820937	0.969315797747699	0.318363925467962	0.0181375719039547	0.775159075763244	0.0402326101197207	0.0416406361494115	0.807601236880005	0.0699248966462812	0.991469834211659	0.859942264479752	0.054412715711864	0.921583090595793	0.392267948667277	0.00381265558496408	-0.00035451765189888	-0.0324701450279582	-0.0133259494432257
Corynebacteriaceae	0.000297340861330725	0.18081157853698	0	4.07390501494903	1.52964302496604	0.136582288093577	0.0302150117131907	0.580861014914948	0.23463156911403	0.03186276635791	0.630427571567944	0.403608540765476	0.00157092371646688	0.630287594556816	0.0841703897724599	0.991469834211659	0.859942264479752	0.0776654929974056	0.921583090595793	0.820076646997522	1.95947110573467e-16	-0.00233380144029422	3.71319657283271e-16	0.0108569462519573
