Name	SugarVsControl	meanSugar	meanControl	tStatistic	tValueSugar	WithinSugar	SugarVsControl_BW	BodyWeightInteraction	BodyWeight	SugarVsControl_EnergyIntake	EnergyIntakeInteraction	EnergyIntake	SugarVsControl_Adj	WithinSugar_Adj	SugarVsControl_BW_Adj	BodyWeightInteraction_Adj	BodyWeight_Adj	SugarVsControl_EnergyIntake_Adj	EnergyIntakeInteraction_Adj	EnergyIntake_Adj	BodyWeightSugarEstimate	BodyWeightSugarInteractionEstimate	EnergyIntakeSugarEstimate	EnergyIntakeSugarInteractionEstimate
Anaeroplasmataceae	0.95257141354735	0.726741959331965	0.734931240188435	-0.0603619986216984	0.635325202713952	0.530032931852861	0.955958431987747	0.616602927281542	0.375540943092557	0.953646101494722	0.0531171022431658	0.263491958400148	0.95257141354735	0.802936522529101	0.955958431987747	0.854671219721962	0.792808657639842	0.953646101494722	0.20184498852403	0.869987724937134	-0.000578997512176081	0.00388066542177798	-0.0390279707193267	0.0770613331923634
Bacteroidaceae	0.000410786765725455	3.31700342989968	3.09048426618063	4.28696293363763	0.289774775023262	0.773981967085756	0.000483510031366352	0.188847109314222	0.485318503877237	0.000502793903525275	0.173281124461293	0.780693683533598	0.00130082475813061	0.829385877696063	0.00183733811919214	0.839040128008856	0.848747237303058	0.00191061683339605	0.470334480680653	0.987410547139517	0.00424638994844313	-0.00414316299340789	0.0151528840199564	-0.0227951208055196
Bifidobacteriaceae	0.000116213271263554	1.72782026103861	0.590771003111132	4.54568107454411	1.46566203632507	0.153143899187476	0.00120717608633188	0.286555873959575	0.756296270601437	0.0012188217358078	0.291551408052278	0.831503618643804	0.000801036210943393	0.434973298185343	0.00382272427338427	0.854671219721962	0.848747237303058	0.00385960216339136	0.629711635602406	0.987410547139517	-0.0130983072222097	0.0183277258096383	-0.0638587893975278	0.0959569610857008
Clostridiaceae_1	0.00021417584080948	2.47873664650525	1.19908106993279	4.93854560294577	1.74439788046452	0.0913287936971079	5.68630177764016e-06	0.068631218674945	0.789250599753729	4.25294502358905e-06	0.0434002926154758	0.412099448654432	0.000859460389770671	0.434973298185343	3.6013244591721e-05	0.651996577411977	0.848747237303058	2.69353184827307e-05	0.20184498852403	0.869987724937134	-0.0208770145089633	0.0237436783507596	-0.126996732422137	0.137532973168717
Coriobacteriaceae	0.00539140270405759	1.78950285628559	1.58444013359281	3.06891037350989	-0.605534981903844	0.549377620677806	0.018391952060804	0.220800033686541	0.715212011373562	0.0121228850351069	0.0148420580715195	0.357894911541538	0.0128045814221368	0.802936522529101	0.0317679171959341	0.839040128008856	0.848747237303058	0.0230334815667032	0.123513580268583	0.869987724937134	-0.00385178088132708	0.00540709604635187	-0.0325790407345499	0.0547983480654572
Deferribacteraceae	0.0255480877692199	1.24390221003422	1.71977434207574	-2.50395814751913	-0.274300146791538	0.785733989396271	0.012121211238115	0.404389241906287	0.604756368182327	0.0108627126407468	0.310328214818956	0.27273800428833	0.0485413667615179	0.829385877696063	0.0255892237249094	0.854671219721962	0.848747237303058	0.0230334815667032	0.629711635602406	0.869987724937134	-0.00842476879845235	0.00794773842902457	-0.014340201695863	0.0503889350380989
Desulfovibrionaceae	0.801390168333376	1.50580930628522	1.54760554541153	-0.256917004964359	-0.534985886468915	0.596603141065094	0.770641147695598	0.660228419166975	0.181242853640552	0.77545956898839	0.776834546440404	0.615296291492969	0.845911844351896	0.809675691445485	0.813454544789798	0.854671219721962	0.779003536971458	0.818540656154412	0.868226846021628	0.987410547139517	-0.00656103260915908	0.00329115972251484	0.000166398974108416	0.0114562581597122
Enterobacteriaceae	5.48166903721614e-08	1.48873632717601	0.424149778713777	7.506399598668	-1.57912484342538	0.124794976736044	1.82107366675433e-06	0.863730180955979	0.848747237303058	8.02915457587172e-07	0.646557957396823	0.0714686064322207	1.04151711707107e-06	0.434973298185343	1.73001998341661e-05	0.922178216088659	0.848747237303058	7.62769684707814e-06	0.868226846021628	0.678951761106097	0.000685306616709757	-0.00170448114265839	-0.0225902401827913	-0.0230399015693334
Erysipelotrichaceae	0.169038679894423	1.62891711996631	1.31980914371321	1.45772580091146	3.52417589183913	0.00138490121415416	0.109841212228408	0.214672723906494	0.806007669716049	0.0929046782344944	0.0195021442529341	0.99968988982054	0.200733432374627	0.0263131230689291	0.132873627710357	0.839040128008856	0.848747237303058	0.121813170483249	0.123513580268583	0.99968988982054	-0.0111791476780178	0.0124327596295308	-0.0907261438837363	0.120658238714856
Lachnospiraceae	0.0982462094601975	3.42865968455505	3.57634915286538	-1.77133012279203	-0.899945092042478	0.375317035977479	0.069371107880766	0.493505634909476	0.181510255762826	0.0741939841854761	0.412363969638932	0.627849447946077	0.133334141410268	0.713102368357211	0.10983758747788	0.854671219721962	0.779003536971458	0.11747380829367	0.652909618594976	0.987410547139517	-0.00448587058422343	0.00285140926893311	-0.00914699633801301	0.0183910852616854
Lactobacillaceae	0.000226173786781755	2.66466371832737	2.2208396860719	4.71105581842539	1.93923028879895	0.0619289950726652	8.44681471894735e-05	0.774811149562572	0.708654800767073	4.32838653831336e-05	0.0740918208176742	0.396604634108223	0.000859460389770671	0.434973298185343	0.000401223699149999	0.920088240105555	0.848747237303058	0.000205598360569885	0.234624099255968	0.869987724937134	-0.000497007797075526	0.00151628828630409	-0.0267914185693212	0.0486764871157859
