Name	SugarVsControl	meanSugar	meanControl	tStatistic	tValueSugar	WithinSugar	SugarVsControl_BW	BodyWeightInteraction	BodyWeight	SugarVsControl_FoodIntake	FoodIntakeInteraction	FoodIntake	SugarVsControl_Adj	WithinSugar_Adj	SugarVsControl_BW_Adj	BodyWeightInteraction_Adj	BodyWeight_Adj	SugarVsControl_FoodIntake_Adj	FoodIntakeInteraction_Adj	FoodIntake_Adj	BodyWeightSugarEstimate	BodyWeightSugarInteractionEstimate	FoodIntakeSugarEstimate	FoodIntakeSugarInteractionEstimate
Pseudomonadales	3.38228433948535e-05	0.489969402096384	0.0866979787571154	4.67313154071173	-1.13413863220292	0.265717990924285	0.00559758658290083	0.763697341827044	0.302610324562444	0.00323861595186123	0.196110109870416	0.0293311539326749	0.000328610309891907	0.877366495131106	0.0293873295602293	0.992230783929681	0.6945687520798	0.0170027337472715	0.514789038409841	0.281628270838045	0.00105814312882799	0.00216933875485391	0.000409544805534501	-0.0465716761720662
CW040	0.332100727463381	1.13085082347671	0.952767081715446	1.00716347415516	-0.765169565352034	0.450148526287813	0.279423895141772	0.688066174318736	0.419506642866948	0.235758474653202	0.00730843593247377	0.385352496869566	0.435882204795687	0.877366495131106	0.366743862373576	0.992230783929681	0.800876318200536	0.317471536739539	0.0767385772909745	0.622492494943145	-0.000197070270349368	0.00342633919417329	-0.0714528122344103	0.115581277041874
Bacteroidales	0.611189636718022	4.02661563861315	4.0414189465845	-0.517048507759543	0.460978378046429	0.64813876326596	0.648127911693344	0.349610689736615	0.26535390723057	0.656516657817726	0.75696672521957	0.82487133041969	0.672518547775414	0.877366495131106	0.680534307278011	0.992230783929681	0.6945687520798	0.689342490708613	0.843102454405018	0.962349885489638	0.00203336250476462	-0.00159032106953461	0.00301178540451282	-0.00283943967025883
Burkholderiales	0.0170833379074509	2.39560880162757	1.98088839100502	2.63054065054773	-0.41961594657296	0.677755884297196	0.0233082988820937	0.969315797747699	0.318363925467962	0.0181375719039547	0.775159075763244	0.0402326101197207	0.059791682676078	0.877366495131106	0.0699248966462812	0.992230783929681	0.6945687520798	0.054412715711864	0.843102454405018	0.281628270838045	0.00381265558496408	-0.00035451765189888	-0.0324701450279582	-0.0133259494432257
Deferribacterales	0.0357038150270792	1.01024422851402	1.48412834284568	-2.33240898943484	-0.757958355109167	0.454389175788644	0.0173649326890825	0.374324774398339	0.57808258016461	0.0167718489267911	0.44280043928132	0.329470492267261	0.0965103383161077	0.877366495131106	0.0607772644117886	0.992230783929681	0.958104782051136	0.054412715711864	0.820295943951258	0.61648885242234	-0.00949037171171597	0.00893669875125401	-0.00818226656027293	0.0405187251202844
Clostridiales	0.167671612845012	3.89327985413784	3.94450279591011	-1.43723179230217	-0.476789726983912	0.636966652433161	0.193961792069885	0.509056767473108	0.0772296742300788	0.213874200081259	0.700131804167344	0.989576559905895	0.234740257983016	0.877366495131106	0.324294815306064	0.992230783929681	0.667080765470599	0.317471536739539	0.843102454405018	0.994933117796316	-0.00250732005097405	0.00134748370526469	-0.00319816753618626	0.00433731205172849
Sphingomonadales	0.10655112158276	0.340249152259582	0.147815500304343	1.67558224812402	-0.838137270037873	0.408581960160456	0.200753933284706	0.390687809832988	0.958104782051136	0.182986194022577	0.0936932371010795	0.299778493677083	0.18646446276983	0.877366495131106	0.324294815306064	0.992230783929681	0.958104782051136	0.317471536739539	0.313975586643906	0.61648885242234	0.00567761347492463	-0.00669683865515408	0.0328305338348659	-0.0672835355518355
ML615J_28	0.614251709911642	0.265519271839819	0.202591816828814	0.514351976925473	0.746715504287826	0.461047666180888	0.600203262318252	0.14323841418794	0.0667745193449789	0.601413243763518	0.5763016847752	0.0284658546660591	0.672518547775414	0.877366495131106	0.680534307278011	0.992230783929681	0.667080765470599	0.669342235504345	0.843102454405018	0.281628270838045	0.0121174610298812	-0.00928694752885053	0.0463763540522404	-0.0185728304141755
Actinomycetales	0.036765843168041	0.469212921166614	0.211773576357032	2.24716367309603	0.37506731615809	0.710249067487085	0.060539156115777	0.837624478007034	0.93702568464319	0.0601529328389734	0.80295471848097	0.746707657425383	0.0965103383161077	0.877366495131106	0.141258030936813	0.992230783929681	0.958104782051136	0.140356843290938	0.843102454405018	0.951711913872917	0.000971714271574349	-0.00143305030135012	0.0120753771456295	-0.00920981788533384
Coriobacteriales	0.0686432211184537	1.56875361498329	1.42092517311089	1.91335490234094	-0.80802056795677	0.425439862556445	0.126598204352549	0.228100999780108	0.730417052988121	0.109272434834619	0.0292855243179799	0.464048665898801	0.146302063561476	0.877366495131106	0.241687481036685	0.992230783929681	0.958104782051136	0.208611011957	0.182301970216452	0.696072998848201	-0.00433751317981559	0.00605041375420185	-0.0344121715738399	0.0563229028454177
