Name	SugarVsControl	meanSugar	meanControl	tStatistic	tValueSugar	WithinSugar	SugarVsControl_BW	BodyWeightInteraction	BodyWeight	SugarVsControl_EnergyIntake	EnergyIntakeInteraction	EnergyIntake	SugarVsControl_Adj	WithinSugar_Adj	SugarVsControl_BW_Adj	BodyWeightInteraction_Adj	BodyWeight_Adj	SugarVsControl_EnergyIntake_Adj	EnergyIntakeInteraction_Adj	EnergyIntake_Adj	BodyWeightSugarEstimate	BodyWeightSugarInteractionEstimate	EnergyIntakeSugarEstimate	EnergyIntakeSugarInteractionEstimate
Actinobacteria	3.8804533746403e-05	2.24741216849576	1.68149990523647	4.74991115399079	1.21282248771445	0.234661874209505	0.00191216732564339	0.210293180480444	0.779292401162058	0.00151623870325812	0.0753774799482285	0.548417161028219	0.000232827202478418	0.703985622628516	0.00764866930257355	0.941337635480684	0.876502030699462	0.00606495481303247	0.278259078901468	0.731222881370959	-0.00835433984290075	0.011283204574339	-0.0508372105746915	0.0834826276485819
Alphaproteobacteria	0.0662500215828826	2.2703443682569	2.05130370757384	1.99965980961865	0.293374934881786	0.771255540410078	0.0329649417050463	0.967882903986483	0.0697843514459301	0.0319736133845447	0.258116387249896	0.110369448027329	0.113571465570656	0.799614555499105	0.0584667871470448	0.967882903986483	0.38659467161143	0.0635016407587686	0.413519561546779	0.441477792109317	0.00349202551131061	0.000209324695077608	0.00427066173610427	-0.0311521993724673
Bacilli	0.000313543860139015	2.71033048897601	2.28861528775426	4.55261260260621	1.85440303473729	0.0735354603878335	0.000133451522729255	0.788819237007712	0.711062231555528	7.37309725893003e-05	0.0927530263004892	0.367803184264973	0.00125417544055606	0.441212762327001	0.000800709136375528	0.941337635480684	0.876502030699462	0.000442385835535802	0.278259078901468	0.55170477639746	-0.000416896943030012	0.00139662808967496	-0.0236322167312548	0.0451219313183315
Bacteroidia	0.816527022674449	4.09496634638596	4.08568104436971	0.235688594593761	0.624857165093336	0.536788870060373	0.825675575539882	0.396520310822384	0.233158298946229	0.830336833505381	0.892140746533128	0.864968358216268	0.89075675200849	0.799614555499105	0.900736991498053	0.941337635480684	0.59819615512347	0.905822000187688	0.892140746533128	0.943601845326838	0.00255164377355766	-0.00187358619995042	0.00209633971627065	-0.00162051005611374
Betaproteobacteria	0.0228406170111392	2.53196223979829	2.12929539907197	2.50760079606686	-0.407628631770915	0.686440723154333	0.0247117718820551	0.862892832523961	0.299098077561735	0.0204005273817442	0.780696918705026	0.0575334140707625	0.0548174808267341	0.799614555499105	0.0584667871470448	0.941337635480684	0.59819615512347	0.048961265716186	0.851669365860028	0.345200484424575	0.00488513521216297	-0.0015621571390516	-0.0291397939217922	-0.0128678849068129
Clostridia	0.154338435190167	4.02421671663532	4.08349691952897	-1.49166755767729	-0.603796627377281	0.55051764953461	0.163795810644353	0.611543338001457	0.0966486679028575	0.179408522572429	0.707932004708801	0.811681278713897	0.23150765278525	0.799614555499105	0.21839441419247	0.941337635480684	0.38659467161143	0.239211363429905	0.849518405650561	0.943601845326838	-0.00233136120559558	0.0011157095758983	-0.00215466598732895	0.00451237946791589
Deferribacteres	0.0227043938126638	1.24130377031193	1.72714249274995	-2.56497767949678	-0.288383469966836	0.775036399736786	0.0103661122420367	0.403675785019209	0.603321420486199	0.00925823822639276	0.311345285252752	0.272237727820424	0.0548174808267341	0.799614555499105	0.0310983367261101	0.941337635480684	0.876502030699462	0.0277747146791783	0.41512704700367	0.470517935043648	-0.00841890425427515	0.00793788360929838	-0.0141962728544994	0.0501464209635121
Deltaproteobacteria	0.446365567239096	1.82904347726878	1.9361946345131	-0.784252656522611	-0.256109228780422	0.799614555499105	0.403005962045998	0.334705029414088	0.270562711679515	0.401572445106995	0.275679707697853	0.274468795442128	0.535638680686915	0.799614555499105	0.483607154455198	0.941337635480684	0.59819615512347	0.481886934128394	0.413519561546779	0.470517935043648	-0.00813835643546878	0.00646015433134953	-0.0122935718946363	0.0385337936331178
Erysipelotrichia	0.181862063372789	1.626229072907	1.32693771075695	1.41206553294913	3.51652031536505	0.00141338843072592	0.120274925523312	0.214019901524794	0.803460194807841	0.102468319370618	0.0193492945769726	0.999132913010906	0.242482751163718	0.016960661168711	0.180412388284968	0.941337635480684	0.876502030699462	0.153702479055927	0.232191534923672	0.999132913010906	-0.0111776089879756	0.0124187557871197	-0.0906369672771563	0.120497545911087
Flavobacteria	0.0321443376193755	0.787677463358905	0.488677671060889	2.32781538194812	0.32702764111182	0.745917920342778	0.0341056258357761	0.671664362938202	0.047985606810905	0.0370426237759484	0.246365502576409	0.218764880088118	0.064288675238751	0.799614555499105	0.0584667871470448	0.941337635480684	0.38659467161143	0.0635016407587686	0.413519561546779	0.470517935043648	-0.00801642715690057	0.00303223825616219	-0.0543947101696031	0.0449295215785199
Gammaproteobacteria	2.83579437154519e-09	1.61208801513808	0.576702238708388	8.51699866631756	-1.58916001268726	0.122509022899153	2.83716246123402e-07	0.77793910455347	0.88738605886884	7.80137995946137e-08	0.236828355922652	0.0571799171259967	3.40295324585423e-08	0.490036091596612	3.40459495348083e-06	0.941337635480684	0.88738605886884	9.36165595135365e-07	0.413519561546779	0.345200484424575	0.00250520533332942	-0.00246690058977255	0.00244517838826895	-0.0517681690360131
