"X"	"loading"
"MDS1"	0.22759836326434
"MDS2"	0.212104814561412
"MDS3"	0.142392633256169
"MDS4"	0.101290147873461
"MDS5"	0.0693932891173089
"MDS6"	0.055570183166964
"MDS7"	0.0438315665363613
"MDS8"	0.033052016743492
"MDS9"	0.0250093566451353
"MDS10"	0.0210820929449316
"MDS11"	0.0184682385598325
"MDS12"	0.0124954986523872
"MDS13"	0.0116343932821406
"MDS14"	0.00771964455261363
"MDS15"	0.00610620908696939
"MDS16"	0.00472762750388884
"MDS17"	0.00437555039720644
"MDS18"	0.00198050659252782
"MDS19"	0.000933824332490615
"MDS20"	0.000234042930367731
