"X"	"loading"
"MDS1"	0.259126642449807
"MDS2"	0.118742234396261
"MDS3"	0.0828121258443095
"MDS4"	0.0700738493186788
"MDS5"	0.0669868789432738
"MDS6"	0.0570469143200674
"MDS7"	0.0434818048897634
"MDS8"	0.037008976352386
"MDS9"	0.0332976972620254
"MDS10"	0.0282585087703301
"MDS11"	0.026847312760596
"MDS12"	0.0247430283912375
"MDS13"	0.0232501802719631
"MDS14"	0.0213737592416225
"MDS15"	0.0164600356942506
"MDS16"	0.0158899270268445
"MDS17"	0.0141925458308026
"MDS18"	0.0123474766357793
"MDS19"	0.0106974679514283
"MDS20"	0.00960836914960137
"MDS21"	0.00847777745917952
"MDS22"	0.00598069194424782
"MDS23"	0.0050281732848127
"MDS24"	0.00314881930958536
"MDS25"	0.00237718138711106
"MDS26"	0.00190572237079193
"MDS27"	0.000835898743243043
