"X"	"loading"
"MDS1"	0.254613816761697
"MDS2"	0.184443816312059
"MDS3"	0.124462649970683
"MDS4"	0.0978199896973596
"MDS5"	0.085077558073423
"MDS6"	0.0671593565465422
"MDS7"	0.046367851057303
"MDS8"	0.0328759246688234
"MDS9"	0.0322739389153555
"MDS10"	0.0197210580921814
"MDS11"	0.0143872051683728
"MDS12"	0.0106154795688243
"MDS13"	0.0100198645753509
"MDS14"	0.00633842988715983
"MDS15"	0.00530348829075042
"MDS16"	0.00353748158165767
"MDS17"	0.00290360114021437
"MDS18"	0.00139616431439182
"MDS19"	0.000682325377851334
