"X"	"loading"
"MDS1"	0.121603630541987
"MDS2"	0.0784147312603644
"MDS3"	0.0576208121159389
"MDS4"	0.0442105785434224
"MDS5"	0.0367244387870849
"MDS6"	0.0336843825164611
"MDS7"	0.0303748557978313
"MDS8"	0.0290521663826933
"MDS9"	0.0264399176836883
"MDS10"	0.0249421979099262
"MDS11"	0.0246965273474414
"MDS12"	0.02391875800136
"MDS13"	0.0231010899994256
"MDS14"	0.0223743142333237
"MDS15"	0.022142232032465
"MDS16"	0.0209012569163586
"MDS17"	0.0200955403567326
"MDS18"	0.0199479250177702
"MDS19"	0.0198217834697296
"MDS20"	0.0190564320226112
"MDS21"	0.0182939435027951
"MDS22"	0.017800957461209
"MDS23"	0.0176378759727891
"MDS24"	0.0173841627199707
"MDS25"	0.0166950850200641
"MDS26"	0.0160265161515188
"MDS27"	0.0155955205200418
"MDS28"	0.0153771163268138
"MDS29"	0.0148173141287811
"MDS30"	0.0146005548630813
"MDS31"	0.0141303140086641
"MDS32"	0.0137708361871891
"MDS33"	0.0133628421601493
"MDS34"	0.0130047117714338
"MDS35"	0.0128011071476228
"MDS36"	0.0122863704825769
"MDS37"	0.012006172914834
"MDS38"	0.0119107788106278
"MDS39"	0.0115692718718233
"MDS40"	0.0111470701178266
"MDS41"	0.0106579069235716
