"X"	"loading"
"MDS1"	0.318533988368338
"MDS2"	0.150827862735702
"MDS3"	0.0984583439763981
"MDS4"	0.0858604924917639
"MDS5"	0.0689683216625743
"MDS6"	0.055001788100123
"MDS7"	0.0498613999407776
"MDS8"	0.039472165238351
"MDS9"	0.0293110464795967
"MDS10"	0.0220007817168875
"MDS11"	0.0184211979808444
"MDS12"	0.0157796498590348
"MDS13"	0.0124533360550709
"MDS14"	0.0100373622639546
"MDS15"	0.006959310519621
"MDS16"	0.00587148899621186
"MDS17"	0.00405801130322671
"MDS18"	0.00339964953843984
"MDS19"	0.00226708606901603
"MDS20"	0.00171682285088844
"MDS21"	0.000739893853179483
