"X"	"loading"
"MDS1"	0.272346134466328
"MDS2"	0.186270995656527
"MDS3"	0.100571978400154
"MDS4"	0.0933307143511575
"MDS5"	0.0592946199178213
"MDS6"	0.0498581051906432
"MDS7"	0.0444246063944239
"MDS8"	0.033650557592207
"MDS9"	0.0329087629283332
"MDS10"	0.0249960923952996
"MDS11"	0.0211118218381411
"MDS12"	0.0155977357757851
"MDS13"	0.014313407253719
"MDS14"	0.0134225681243518
"MDS15"	0.0100176299169848
"MDS16"	0.0089353254331437
"MDS17"	0.00627832349398832
"MDS18"	0.00490204569056251
"MDS19"	0.00359426211204689
"MDS20"	0.00249054906711985
"MDS21"	0.00117080842130306
"MDS22"	0.000512955579959813
