"X"	"loading"
"MDS1"	0.253048477197423
"MDS2"	0.106954628638595
"MDS3"	0.0794324415556722
"MDS4"	0.0755253337158795
"MDS5"	0.0600679166556301
"MDS6"	0.0484661463087401
"MDS7"	0.0444202310674638
"MDS8"	0.0375263911009422
"MDS9"	0.0342515888084896
"MDS10"	0.0294152345648687
"MDS11"	0.0288069843687239
"MDS12"	0.0267617528227163
"MDS13"	0.0227497154019629
"MDS14"	0.019987131024703
"MDS15"	0.019872803561826
"MDS16"	0.0159748621809966
"MDS17"	0.0153994402748627
"MDS18"	0.0143018630914801
"MDS19"	0.0123069754254002
"MDS20"	0.0121680900395653
"MDS21"	0.0104683034466177
"MDS22"	0.00831516769824998
"MDS23"	0.00749917346576207
"MDS24"	0.00478755385935993
"MDS25"	0.00424209764051312
"MDS26"	0.00294564912378392
"MDS27"	0.0023326411443522
"MDS28"	0.00181174732535978
"MDS29"	0.000159658490060168
