"X"	"loading"
"MDS1"	0.151658482414574
"MDS2"	0.0879241722632149
"MDS3"	0.0704178668142142
"MDS4"	0.0572176038634777
"MDS5"	0.0429514536277639
"MDS6"	0.0402646608703853
"MDS7"	0.035008702033142
"MDS8"	0.0329321708538187
"MDS9"	0.0299027243962243
"MDS10"	0.0281451378285259
"MDS11"	0.0267224338213109
"MDS12"	0.0246451934187034
"MDS13"	0.0239127844891587
"MDS14"	0.0218025078462446
"MDS15"	0.0211819169518802
"MDS16"	0.0207145788158155
"MDS17"	0.019254842552028
"MDS18"	0.0186583666407177
"MDS19"	0.0177565235716988
"MDS20"	0.0172117974410055
"MDS21"	0.0160724081599913
"MDS22"	0.0159011533732926
"MDS23"	0.014886063004308
"MDS24"	0.0146072503042385
"MDS25"	0.0134353900180189
"MDS26"	0.0130026939534277
"MDS27"	0.0123330415285308
"MDS28"	0.0118692497350203
"MDS29"	0.0106270030343172
"MDS30"	0.0102934146223364
"MDS31"	0.00998597847840981
"MDS32"	0.00991263918216026
"MDS33"	0.00903687707844193
"MDS34"	0.00845961171921921
"MDS35"	0.00740804469023056
"MDS36"	0.00720571028368837
"MDS37"	0.00668406554853355
"MDS38"	0.00587903604122654
"MDS39"	0.00529199373473302
"MDS40"	0.00476403290254033
"MDS41"	0.00406042209343064
