"MDS1"	"MDS2"	"MDS3"	"MDS4"	"MDS5"	"MDS6"	"MDS7"	"MDS8"	"MDS9"	"MDS10"	"MDS11"	"MDS12"	"MDS13"	"MDS14"	"MDS15"	"MDS16"	"MDS17"	"MDS18"	"MDS19"
"feces__J401"	-0.198774962772251	0.0467803923502296	0.0591156807306258	-0.0697089495115401	0.0788005306074755	0.171112117211401	0.0648165849430311	-0.154672163721998	0.0197278786923364	-0.078644941942375	-0.13074088155852	-0.0780808328978971	-0.131432812371865	-0.230075756832279	0.0222079142973088	-0.202168416328558	-0.175989841415874	-0.136485759392682	0.0858200670209737
"feces__J402"	0.0513511170656258	0.104542981715508	-0.211820250050539	0.300402528442008	-0.0791284662347425	-0.182527372953801	0.0716059723015532	0.00928466488368568	0.00172765452613055	0.0415952292910992	-0.2021956489288	-0.100959935690665	-0.00287284210254078	-0.138043324455711	-0.00483708845023564	0.139292188018231	-0.086216263134062	0.15594682257005	-0.0567141472869416
"feces__J403"	-0.378484893258409	-0.191403737537326	0.233348353456017	0.102259086246187	-0.0309806392256346	-0.16910684024362	0.504054774042926	0.122275660179134	0.0816550766001835	-0.0496046812066148	-0.0430118968913612	0.0287754738555392	-0.0922563914651773	-0.127487726750537	-0.0009880971341423	0.0473284049335564	0.0405224188097401	-0.0618513318229447	0.026584378356138
"feces__J404"	-0.263373191251811	-0.0227955631405429	0.0429073162853769	0.221154754930399	0.179143623560395	0.23378586011829	-0.28285193740006	-0.188836866230254	-0.0877431073786258	-0.119697107097166	-0.116580330795121	0.136373685558418	0.103478294935018	0.0191561188496661	-0.188477789660867	0.157073366386971	0.119375382160411	-0.342334658792222	-0.072935500222209
"feces__J405"	0.179020924779318	-0.0586415755584847	0.220032740576158	-0.0953954993925729	-0.0504123994028082	-0.166638188034116	-0.302914047813706	0.196077990283255	0.221021109474344	-0.0483655993002227	-0.187403360832411	0.0316543118333395	0.00828904165997379	-0.206618620211366	-0.220691012695077	-0.0140232162021418	0.187438252101557	0.012178737681334	0.0713558112287582
"feces__J406"	-0.0518919538920347	-0.0120249825184177	-0.171024704669741	-0.216388515242295	0.0175268030095125	-0.0117216214051118	0.00837828828510299	-0.127350429360016	0.0311207804459265	0.187643943718342	0.126718244815446	-0.00024442354592098	-0.122928723155937	-0.234252415702406	0.0846969861785914	-0.208452876010062	-0.104985554906088	-0.132100265414613	0.259495556520285
"feces__J407"	-0.172328033702482	0.164743543649949	-0.195302713448122	0.219167617079776	0.10344935483651	-0.194285018997297	-0.264390528403536	0.158859323461357	0.172575079775427	-0.0897259298817093	0.181247833469013	0.0643586450625822	0.00932978249890889	-0.111402479717822	0.0442820288425797	-0.0533295744853695	-0.0176497787366415	-0.214160952228288	0.0307721274824486
"feces__J408"	-0.179773853346151	0.200946059124268	0.0147586142594554	-0.123541166324347	0.11288498387541	0.0986994054844081	0.159354354981737	0.190062241927963	-0.0645529490054249	-0.421886075367038	-0.0332382066190012	-0.00427936292019143	-0.00397379689990632	0.293411803096068	0.0688051031397919	0.246736041402755	0.0966463119235646	0.0458063976541642	0.098915405816463
"feces__J409"	0.0932808942229033	-0.157777951521397	-0.104405404094135	-0.062615320495911	0.0716373810407067	-0.0458225635003075	-0.121333838783631	0.421041781115452	-0.0947414204593907	-0.0595539830703034	0.0127451961640353	-0.037554524623307	-0.0666444167770589	0.248308048919822	0.151343865175422	-0.0837137799652342	0.187087646725456	-0.182258464841097	0.093907356450607
"feces__J410"	-0.0205610152772662	-0.107863305964227	-0.0340990921056442	-0.359878714328322	0.214647012350416	0.107322549734483	0.104649642618673	-0.0111741033492469	0.186199030136113	-0.0984151436017599	0.128393833883373	-0.187502660804902	-0.0950946377912619	0.0232289097037723	-0.250456874182095	-0.00212518921707404	-0.0280255497856904	0.0976028871353384	-0.289575072367821
"feces__J411"	-0.127445341342694	0.0657827450859461	-0.308309514566803	-0.235056301517171	0.0553181101469716	-0.327162445148557	-0.00185852397818181	-0.262278967694176	-0.218610243280959	-0.265337794048426	-0.229525469889096	0.164117257490576	-0.0837644591888887	0.0794948209731422	0.155698903208803	0.0100621248834074	0.1380700099286	0.145540584863579	-0.0111266959523069
"feces__J412"	0.101454630177738	0.0499064276096479	-0.0249239602269008	-0.0102978306919848	-0.0408305587055758	0.010033640626327	-0.0032874341459707	-0.0649257660686974	0.0776665346698704	-0.132128729037739	0.0453225634281105	0.206518718019789	0.013417240172613	0.218762488635165	-0.289896421397706	-0.327115036107083	0.19890314139411	-0.059288557840608	-0.395937075145026
"feces__J413"	0.358149909311172	0.11859221168887	-0.0463893780816715	-0.0445135313736123	0.102525710573492	0.277868213344045	0.101273071491729	-0.0213609816223713	0.0727615687936245	-0.0165068139351351	0.0491989063746298	-0.074801427870617	-0.0615711358094445	0.177929839033811	0.110448325562487	0.0929691693794989	-0.109490804479935	-0.153951285079584	0.165754795502298
"feces__J414"	-0.106722273065908	0.245091894011075	0.260081266591449	-0.00196607093479327	-0.25793971450273	0.167375402180499	-0.167062916037215	0.276087121310146	-0.200691649877033	0.152158065562546	0.0713577105892279	0.186310464639499	0.0338682891692145	-0.183561976155731	0.0198672757362513	0.0577400824231828	0.0652836682437079	-0.0124275420492994	-0.165956176150754
"feces__J415"	0.0696462636181931	0.0610877989316133	0.0774548348919624	0.254027134044453	0.0956549431355725	-0.140151445245829	0.111078200948057	-0.0649730304634122	-0.124414199687649	0.061220222024515	-0.315550817863061	-0.0591930679595246	0.299718010331091	0.0288015136203411	-0.0273326725817854	-0.0383827746157114	-0.187486425709858	-0.17672135426344	0.0583782305351908
