"X"	"loading"
"MDS1"	0.305377359737853
"MDS2"	0.167503850429895
"MDS3"	0.1032311980726
"MDS4"	0.0811191543518627
"MDS5"	0.0600156463042343
"MDS6"	0.0498487673010471
"MDS7"	0.0423017560576789
"MDS8"	0.0337831823511947
"MDS9"	0.0302214978136697
"MDS10"	0.0279829656574939
"MDS11"	0.0170481600961447
"MDS12"	0.0168445414905918
"MDS13"	0.0140722530476517
"MDS14"	0.0114645494929445
"MDS15"	0.00902828066437695
"MDS16"	0.00837678069287949
"MDS17"	0.00630782871165714
"MDS18"	0.00544033422051174
"MDS19"	0.00400919262476176
"MDS20"	0.00289161067137877
"MDS21"	0.00200833003181589
"MDS22"	0.00112276017775619
