"X"	"loading"
"MDS1"	0.290796136492626
"MDS2"	0.240725705850359
"MDS3"	0.130237889378189
"MDS4"	0.0889999606604766
"MDS5"	0.0531541177650648
"MDS6"	0.0512018084656289
"MDS7"	0.040296557179704
"MDS8"	0.0256905154958933
"MDS9"	0.019553159890219
"MDS10"	0.0139788022776262
"MDS11"	0.012080169994901
"MDS12"	0.00937540874494849
"MDS13"	0.00732204826795349
"MDS14"	0.00693472278804933
"MDS15"	0.00496215895000602
"MDS16"	0.0023219274124583
"MDS17"	0.00126428720570982
"MDS18"	0.00105919720329061
"MDS19"	4.54259768962214e-05
