"MDS1"	"MDS2"	"MDS3"	"MDS4"	"MDS5"	"MDS6"	"MDS7"	"MDS8"	"MDS9"	"MDS10"	"MDS11"	"MDS12"	"MDS13"	"MDS14"	"MDS15"	"MDS16"	"MDS17"	"MDS18"	"MDS19"	"MDS20"	"MDS21"	"MDS22"	"MDS23"	"MDS24"	"MDS25"	"MDS26"	"MDS27"
"J401"	-0.131044108673112	0.0509622907420662	-0.200664300987572	-0.165134300926838	0.264469286935477	0.11754494921084	0.0873036708785007	-0.170685724279414	-0.0517952376872943	0.0247275876287844	-0.146898086902834	-0.275368900317772	-0.00465857570989256	-0.143155115853322	0.0382020417560269	-0.0850438597737287	0.0955707671350553	-0.0926918056356262	0.0402270019090644	-0.263232292217699	-0.0289273152596276	0.21988870119408	0.165326072035787	0.121701187705635	-0.000457837473542601	-0.253213640307485	-0.0965948768949499
"J402"	0.167754768150228	-0.145653049419811	0.0510270408184675	0.0900206197199699	0.215738550726275	-0.291735799066146	-0.0487660782780797	-0.109022187665904	0.175640549604986	0.0779285371447375	0.0788070447663806	-0.144991630854043	-0.132403250874674	-0.125314752765123	0.0708709759421851	-0.191334163821264	0.0981525455416398	-0.081521622322556	-0.088055669034972	0.0685590555074236	-0.0393812249113223	-0.274211363154636	0.0855881058168679	0.0377803541595803	-0.0920962404833638	0.164221173205008	0.327830475964942
"J403"	-0.334124460319548	-0.111959256930974	-0.0937249601766845	0.255310222853661	0.0553372112672277	0.322683546346271	-0.407646015506146	-0.137053531140556	-0.0594395203097129	-0.166995993225538	0.0638324504972344	-0.0282656488328496	-0.190699101476458	-0.0347733954142537	0.0628427853899479	-0.0171101371018717	-0.0483261910032987	0.185229965679403	-0.177263068069087	-0.0487812097629605	0.154590147727799	-0.0534074960186135	-0.0490428781119393	0.168621993243684	-0.0211315777460131	-0.0971507402068876	-0.0277050805043327
"J404"	-0.0569459899690801	-0.0153533907593623	-0.232346396559376	0.17315873926029	0.206498067181021	0.284324326198562	0.408548269716734	0.0766370069422525	0.0567648390761301	-0.0253850529394889	-0.155635025337357	0.13886874656881	0.128825955655149	-0.0471988407524805	-0.271018272391402	-0.0707131804183008	0.0317003799192357	0.113784079702335	-0.0819931873983156	0.295062644675484	0.116318477576539	-0.162142771101525	0.011101422425875	0.0405401789290861	0.125779577512852	0.025609379230719	0.17549166181246
"J405"	0.114904815928769	0.0603236073897225	0.127626360046844	0.0813132122882245	-0.00480304318863788	0.243122237503005	-0.051327486636216	-0.000140904346016709	0.0667062373141893	0.192476973721974	-0.172712499325961	-0.112991338191642	-0.25340483178535	0.129549804043749	-0.12357125719835	0.535275583023926	-0.281714001228456	-0.0717066126424923	0.0518015076153922	-0.0563465686606232	-0.110249569896007	-0.009400552807419	0.0866990453015374	0.00399045914852918	0.0717758901479617	-0.0956345152374844	0.0209730166578727
"J406"	0.0450059537225874	0.102484235030819	-0.0877479114702573	-0.0115555013877509	0.301845961280574	-0.0732920579734008	0.12022955055027	-0.0203600539000044	-0.241973290361866	-0.0125043467896117	0.212316327080467	-0.0924259299368786	0.159439117659681	0.135587881230039	0.244553922098821	-0.0672969658814902	-0.28802721272717	-0.0790755903125018	-0.285617397158813	-0.0374804669751626	-0.0849940564838709	0.0863272824471134	-0.200862458248461	0.307184111087414	0.0385839385541351	0.0900846931375019	-0.296027661933617
"J407"	-0.0677606894188669	-0.292517670180577	0.0563698223019485	0.171782068520857	0.114086469507698	-0.0919347815260693	0.222975471639636	0.110885472892122	-0.0684418397975298	0.0921656672231477	-0.162184399397453	-0.0622355390802129	-0.225245182410106	0.101559824954333	0.029205373027885	0.0407528083179393	0.026853420183692	0.193759848717003	-0.128964469740572	-0.0960039271585935	0.208584807293671	0.126690910032495	0.00653775594445427	-0.149470713828955	0.029033935284718	-0.105914905399123	-0.00451300818842085
"J408"	-0.16863602302093	-0.222037773393425	-0.162686623377427	-0.182762459306655	0.169190930879564	0.0931642827610849	-0.166475276273679	0.20913701803528	0.0107857536990468	0.126406528367213	-0.0810560763016272	0.307060584171308	0.0788513808670873	-0.0026060104584355	0.0817221856604952	-0.130531158990223	-0.0390788539169152	-0.35472870244187	0.117751530196782	-0.0415269707480492	-0.0753890738998916	-0.0467616203004807	0.119015603655628	0.161655794328268	-0.0524898019650408	-0.0347466714198165	0.227889514504188
"J409"	0.0155076683755825	0.150205881833319	0.251867553048	-0.0786953772915791	0.0401038879074279	-0.0277356902366002	0.130595401448619	-0.0350224975499192	0.16291913145509	-0.106368950387296	-0.220926409334408	0.237173661653952	0.181400019778957	0.246618039453825	-0.116067038962183	0.0458364918581533	-0.254821947078253	-0.127348973614498	-0.0644082345981134	-0.072558957555062	0.213512432387051	0.202417146907635	-0.0010085223305116	0.15120884120907	-0.098920853114578	0.157338872745353	0.121257009694626
"J410"	-0.1666970965009	0.0339538846729917	0.143250154526568	-0.0472764076756813	-0.0430005743677924	-0.17854310134598	-0.018991619262284	0.220633730665548	-0.118461335714969	-0.0881548964520758	0.106229014090221	-0.091131376553071	-0.0481448747432876	0.377775527627674	-0.0915969068140369	-0.0929845779647903	0.151850907042741	0.0647038011827791	0.0394387351610306	-0.0647729504657437	0.0935496208759611	0.0457640641625309	-0.278437637968781	0.0935409153963414	0.0713755706925887	0.147478344904253	0.217386599390696
