"X"	"loading"
"MDS1"	0.236431223872191
"MDS2"	0.14799907053057
"MDS3"	0.0970772340519281
"MDS4"	0.0865637001622794
"MDS5"	0.0750190821083741
"MDS6"	0.0630690189982615
"MDS7"	0.0469427287488932
"MDS8"	0.0414058709650124
"MDS9"	0.0373373778313575
"MDS10"	0.0315690751673446
"MDS11"	0.0257661128268781
"MDS12"	0.0210636178292057
"MDS13"	0.0185020352349769
"MDS14"	0.0163909385647497
"MDS15"	0.0149547282521604
"MDS16"	0.0105597760140593
"MDS17"	0.0086221084582332
"MDS18"	0.00650038254196182
"MDS19"	0.00508017648206799
"MDS20"	0.00366276520983428
"MDS21"	0.0026467544329629
"MDS22"	0.00225911370944996
"MDS23"	0.000577108007248175
