"X"	"loading"
"MDS1"	0.258289589072063
"MDS2"	0.155652416156367
"MDS3"	0.0844994620520521
"MDS4"	0.0612591797759183
"MDS5"	0.0601197459654762
"MDS6"	0.050244030902573
"MDS7"	0.0421991302799087
"MDS8"	0.0355951335808786
"MDS9"	0.032259610219522
"MDS10"	0.028925945322385
"MDS11"	0.0273540415798671
"MDS12"	0.0237465649445632
"MDS13"	0.0186174949578068
"MDS14"	0.0177440637393015
"MDS15"	0.0174644774416466
"MDS16"	0.0156181240816698
"MDS17"	0.0131926964648127
"MDS18"	0.0117970981293671
"MDS19"	0.0107740864334994
"MDS20"	0.00920306683991356
"MDS21"	0.0069071246938423
"MDS22"	0.00612846155289347
"MDS23"	0.00422846237586925
"MDS24"	0.00263871095666866
"MDS25"	0.00253964671327772
"MDS26"	0.00166546022566176
"MDS27"	0.00118660786214446
"MDS28"	0.000149567680050195
