"MDS1"	"MDS2"	"MDS3"	"MDS4"	"MDS5"	"MDS6"	"MDS7"	"MDS8"	"MDS9"	"MDS10"	"MDS11"	"MDS12"	"MDS13"	"MDS14"	"MDS15"	"MDS16"	"MDS17"	"MDS18"	"MDS19"	"MDS20"	"MDS21"	"MDS22"	"MDS23"
"feces__J401"	-0.0610670331111967	0.0474939544890558	0.404836433781341	0.0111034359249693	-0.0609053411110319	0.205043992452616	-0.143553698227746	0.20525629648154	0.0884023843223704	0.267763010140421	-0.0708797060041687	-0.0598369242240501	-0.0974088282435961	0.0824163503184426	-0.270407327195221	0.0741865502435309	0.115476174904528	0.0121281532974196	0.0928490868213972	-0.0348299388741646	-0.0659864297364987	-0.21803520415414	0.0848910778000244
"feces__J402"	0.122205484079143	0.316848496193205	-0.0850528553241484	-0.0550790060921533	0.168430319835833	-0.0355067621480458	0.177730704314132	0.166054708119786	-0.206939339627939	0.0979941325160469	0.0177134691496655	0.04263717543796	-0.19589793401514	0.0659585045276684	-0.0241062867983819	0.169373033272813	0.0290596864723743	-0.00591808226760789	-0.223626454610037	-0.127027183246262	-0.142429813479684	-0.0607229349316888	0.106343941850585
"feces__J403"	-0.443611466899748	-0.112072028266143	0.0693969052410979	0.209815155934516	-0.171463348541027	-0.152157184399613	0.134033134687205	0.0100240757513679	-0.143525869710088	-0.0303381357705442	0.158493681880556	0.0527482866098588	-0.132361623206933	0.118977053299746	-0.217177372223063	0.170272673369814	-0.0480275048670363	-0.0186722493192425	0.0152100888088493	0.0213579596179197	-0.00578229553966069	-0.199349709357652	0.0729954238014068
"feces__J404"	-0.136378613832141	0.0227495504658144	0.299342870109972	-0.337016955670219	-0.122897296973215	-0.0522718086514233	-0.169339022052328	-0.0499074026312535	-0.102677768875728	0.124404003596267	0.127560354903737	0.0370409335308533	-0.113731109805131	0.178889814537821	0.300533089620177	-0.313452976580915	-0.184101954796026	0.109684682386708	0.0484976623606813	0.281202452512504	0.0398842321449508	0.0325369615678563	-0.0938683108524812
"feces__J405"	0.151001175610274	-0.0841323787342658	-0.0218206304512683	-0.0532136510299423	-0.124477479470563	-0.0881820762730057	0.0750061168164196	-0.0465994802178987	0.138134950898689	-0.143397240074259	-0.304070530088481	-0.389945748189248	0.139842374229483	0.114099731636066	-0.0854971331012906	-0.12796952662126	0.0938652299067912	0.0653602345158466	0.0872924886669031	0.142197833932869	0.323120811530944	-0.242143695500978	0.119539888261858
"feces__J406"	0.045808271049342	0.0382980843733464	0.302028326306647	0.0289743618371494	0.0989696682145517	0.278031734364495	-0.0673034584481246	-0.152021486727915	-0.209155444468412	-0.166985267829986	0.204709212591148	-0.0223258960455581	-0.120011244303956	-0.308889253182539	0.0227667861239725	-0.178146182322047	0.162601133599025	-0.129092862458855	-0.0281631104749516	-0.151719935233056	-0.033432571348994	-0.152049392765291	0.069916701334598
"feces__J407"	-0.228508592120624	0.218253805708418	-0.149045724694597	-0.0318831499063366	0.156430781974693	-0.0174683695703155	-0.155730737936684	-0.110145608207135	-0.107548269206861	0.192690184060351	-0.0886221116245268	-0.175836251165697	0.0250788921870763	-0.156797855597919	0.287335732097926	-0.17357683610094	0.170489647050929	0.0628107095610843	0.152045020424215	-0.0499958413639243	0.0249163361093626	-0.0634297354511957	0.0353117789311392
"feces__J408"	-0.205349775962198	0.0973045960309236	0.0587931826419409	0.255534710815975	-0.0951430704513902	0.0670150124597533	0.0771036414630932	-0.187661967088708	0.177515039708993	-0.00288401621863517	0.0175244313866593	0.357460855293697	0.38632021435113	0.0848048804753597	0.106492585464192	-0.052883697410849	0.102333890636953	0.142415955901141	0.105743902949459	0.00173244154364603	0.0591217332543436	0.0408915899097885	-0.0755483931901507
"feces__J409"	0.09748712269638	-0.268222718918351	0.0440030811513098	-0.207947927652688	0.157736325613415	-0.263176327448984	-0.0721785680023171	-0.0942167026611156	0.0235931354661822	0.00642586759635943	0.21197746986193	-0.262359133941351	0.20606105977281	0.169570630499197	-0.0694560690753852	-0.067033475163553	-0.213068515164038	0.00518386481368715	0.168268468700128	-0.151677563341747	-0.165687936874571	0.0162384964389652	0.0930444703069868
"feces__J410"	-0.147100982470396	-0.250666835824636	-0.14719477856034	0.186399661566458	0.292625823841645	0.0402621980091298	-0.224590329880055	0.105226854525567	0.123309627666594	-0.123386089456315	-0.043447506653105	-0.284358047784082	-0.105176171224077	0.0196760305741308	0.122756974876262	0.0202524412967407	-0.0670582008819074	0.136429427412372	0.0975042445165686	-0.144056942217897	-0.139231142027299	0.163729647690291	0.021314476824742
