"X"	"loading"
"MDS1"	0.282380926373534
"MDS2"	0.135000842215856
"MDS3"	0.094520180138404
"MDS4"	0.0684861109768837
"MDS5"	0.0645164289554329
"MDS6"	0.0594356754467973
"MDS7"	0.0479420927139229
"MDS8"	0.0424816137103055
"MDS9"	0.0388038825933384
"MDS10"	0.0372935814176357
"MDS11"	0.0265934571579354
"MDS12"	0.0231330869416567
"MDS13"	0.0161192544934211
"MDS14"	0.014509696247364
"MDS15"	0.0117805269384842
"MDS16"	0.0113228252786828
"MDS17"	0.00748669258690872
"MDS18"	0.00583709724020634
"MDS19"	0.00461126733343317
"MDS20"	0.00364261074128282
"MDS21"	0.00211491935087001
"MDS22"	0.0018509569020299
"MDS23"	0.000136274245614377
