"MDS1"	"MDS2"	"MDS3"	"MDS4"	"MDS5"	"MDS6"	"MDS7"	"MDS8"	"MDS9"	"MDS10"	"MDS11"	"MDS12"	"MDS13"	"MDS14"	"MDS15"	"MDS16"	"MDS17"	"MDS18"	"MDS19"	"MDS20"	"MDS21"
"feces__J401"	-0.125717915124309	-0.0410456679294775	-0.280187260001532	-0.176023677423753	-0.109588875916788	-0.0920947765030961	-0.00908771673465367	0.246865026973486	0.134203204649071	0.241905190666888	-0.138311249804377	-0.0386574733140159	-0.0422394721141505	0.0401186724968928	0.175984274321926	-0.140039320548436	-0.0672226277017196	0.015541160928804	-0.193915670155033	-0.238215220297676	0.0392027677085066
"feces__J402"	0.0722281797837328	0.33138259364859	0.0952271339650456	-0.0937760465367611	0.154583127335298	-0.144683517198966	0.0993424372449448	-0.221602554264667	0.149089846973605	0.0064155654739143	-0.0165909449534338	0.0549882144932838	0.0910686833732466	-0.0409172381604093	-0.0250561282687057	0.0294808169035119	0.115370103649896	0.105923400893877	-0.194452707271677	0.133274716548622	0.274186722092583
"feces__J403"	-0.426679255045915	-0.201352652751692	-0.188077491025524	0.236940645094103	0.0814154797982821	-0.131040409912258	0.0176985108336326	-0.297018324393606	0.154503376630138	0.0206854416929697	-0.108387870528103	0.144800945650683	0.0684287723213037	0.113703807628232	-0.0275476664253212	-0.124011928792304	0.00464404457834384	-0.00219521876200287	0.049135479640441	-0.135641494166139	0.117009572868804
"feces__J404"	-0.157027649840728	-0.0481710234131198	-0.116129445341211	-0.261045798802317	-0.332471392111799	0.26784996463099	0.264261733596966	0.130716515989249	0.113672884465417	-0.071291059814696	0.00141454369894585	-0.0271041824688953	0.221891499249881	-0.0924709411786032	-0.0530668829763468	0.186836841692083	-0.142304612427688	-0.021932051051769	0.173897004228882	0.0315093545685847	0.00740182701336669
"feces__J405"	0.139316758705877	-0.130162378126911	0.0855920942977546	0.183312461840324	-0.142901442780773	0.0898189562798395	-0.0102270964934129	-0.058565198248589	-0.160129877844116	-0.115829241662537	-0.0794233401975497	-0.397028572200017	-0.212970541978004	0.0244300656811581	-0.111711492692901	-0.313620140561178	-0.045230388533162	0.056661703881789	0.0491744529408866	-0.0570354680568167	0.145909445138415
"feces__J406"	-0.000450570243033328	-0.0313736652201867	-0.192386288948794	-0.36006672660138	0.00582974948409121	0.100443720905826	-0.293953347471072	-0.0841245778388908	0.115324370454736	0.0774406863556535	0.224982995609144	0.256826802432736	-0.228143506555829	0.0900843121748064	0.0909409569258568	-0.0945218047752833	0.145852906121381	-0.219037593967236	0.131200300258297	0.0344451988677522	0.177742810046355
"feces__J407"	-0.224450980743662	0.278980979953477	0.134642305115934	-0.120332437408668	-0.0273106228046541	0.153818669940501	0.0975408907436278	-0.0472185392975695	-0.214105331038804	0.0717626428566246	0.138155083606984	-0.0867468618598903	-0.0658663981001381	-0.0949125955412487	0.0985976257759391	0.145896387840316	0.101549850031639	0.0642136982539003	-0.0270263919249946	-0.272665702314307	0.0973181462203756
"feces__J408"	-0.174770248549519	0.0395215150899592	-0.190544637599642	0.0307994156597283	0.11079371880807	0.0174845684545645	-0.0058491086852138	0.169037781519483	-0.255837126344757	0.0352699471930782	-0.157522374074648	-0.165388971188074	0.232894046867887	0.237763695025241	0.231677216943718	0.0937332624409334	0.173150827598546	-0.161408250996284	-0.0580390843047531	0.194637740608574	-0.0805718131112508
"feces__J409"	0.129053995182335	-0.205875487051027	0.173233804153778	-0.10367979811845	-0.0845534604035709	0.215749100636079	0.0601996279784449	-0.0682399567617061	-0.306816689652183	-0.125389795368145	-0.215398447233649	0.152740403669639	0.00864198544801236	-0.24554644187716	0.103358629059075	0.0144327044304938	-0.057024329350586	-0.159708128473874	0.0312397123174665	-0.104029014500528	-0.124604534521763
"feces__J410"	-0.0998921566123683	-0.196076057600248	0.23359239356353	0.0625521103342155	0.191830338717969	0.254020246958832	-0.26205829815712	0.116877854963851	-0.030952641813535	0.15297805780103	0.287584048780882	-0.0482420853264236	0.0109866704730457	-0.218668263075867	0.182209411490571	0.0196062338605777	0.0770749263861791	0.175039422362099	-0.101619929351528	0.00510673178783436	0.0861183677302097
