"MDS1"	"MDS2"	"MDS3"	"MDS4"	"MDS5"	"MDS6"	"MDS7"	"MDS8"	"MDS9"	"MDS10"	"MDS11"	"MDS12"	"MDS13"	"MDS14"	"MDS15"	"MDS16"	"MDS17"	"MDS18"	"MDS19"	"MDS20"
"J401"	-0.11551652643346	0.0382596987969172	-0.0701755423588934	0.307177608188131	-0.0295646739394885	-0.0571487702012849	-0.20578980462917	0.470288046666519	0.0834203323484373	0.0564430538770467	0.101181840615988	-0.143078370730987	0.00700572456103414	0.0598675383603881	0.0518552335368298	-0.022560490682497	0.0795181493918322	0.0359331203400014	0.0590386868537069	-0.0298604306586012
"J402"	0.163136339813046	0.0799131544597518	-0.248202123951326	-0.0481278774469254	-0.318013559908745	-0.0629958639433185	0.0503677749169031	-0.0887837084288112	0.119965316515392	0.091350528434811	-0.0668053847662334	0.0555800970203079	-0.0944990029267718	-0.10302101655577	-0.0568415344869961	-0.0913574835727781	0.120794549103678	0.0788450364132773	0.0717743227180651	-0.00246657672231104
"J403"	-0.39936342336594	-0.0152884085387376	0.0798716654359896	-0.0136444558537779	-0.187516768814409	0.121386018786793	0.194535032150737	0.0580766004374001	0.0984651896932314	0.487694457846399	-0.192654077668224	-0.173695542790454	-0.148626015387991	0.0578043083158139	0.000221760145422305	-0.13737657234087	-0.0977271326163915	0.0793291902065943	0.00105960543268897	-0.018722909124227
"J404"	-0.265056880923918	0.0619439291345623	-0.0705451356503543	-0.141195979344437	-0.166496990078771	-0.0903353936360617	-0.0943567730510013	0.17577491094107	-0.175927634318371	-0.262293126327583	0.0904932102514251	0.0204426110981473	-0.0817362951801667	-0.242303879638052	0.0555621900802006	-0.252900636818404	-0.307182173756187	-0.297251508839135	0.301447910214613	0.0106959655241995
"J405"	0.0652097714396833	-0.107223699922012	0.161398841179756	-0.0679616714784823	-0.0549999345163417	0.237885343809437	0.105167738814772	-0.0956149035541362	0.406063005767337	-0.228229884314206	-0.0201770646939029	0.0695139726937786	0.262601724679453	-0.0867385914636086	0.104940413960197	-0.143358651532854	0.127805619579781	-0.0927636173238247	0.21185827727221	-0.140203970408782
"J406"	0.0256756693484381	-0.0832137266755468	-0.0489500639291774	0.27168602864043	0.231383042209507	-0.162767730605025	-0.00652926733217353	0.0894721492140408	0.0783628518579614	-0.0253785714701977	0.0580568872089301	-0.195786384795346	0.118608803029597	-0.00835436916957693	0.203547286399491	0.171537621949007	-0.186360935433038	0.145868869600696	-0.108189524703992	0.0622723935073987
"J407"	-0.113489024764508	0.207814882597288	-0.133017150226654	-0.132482854777135	-0.0656623103694914	-0.170741745658847	0.174439523953935	0.0393157693446727	0.320080588532784	-0.188956005355167	0.0226105389400153	-0.0477656732953771	-0.0886425187237396	-0.124995579349008	0.0267151142847271	-0.00726895756185048	-0.00716041268627447	-0.0849373215917432	-0.195800953639131	0.169875055801922
"J408"	-0.168919948243635	0.295064607371573	0.0422529643107131	-0.0108061176762823	0.147564249184042	0.138978096736943	-0.0527550778087126	0.0582322173759558	-0.0543829687461085	0.0826664443819997	0.0561718004834834	0.0213263864479481	-0.23649843364405	0.00514783412972112	0.294260886683599	-0.0245309099698087	0.134837638883984	-0.0621852087174343	0.0799634464816926	-0.288929512841117
"J409"	0.038748317679274	-0.165819646612859	-0.129981282460059	-0.0449310282601798	0.155139671161872	0.0725314083535549	0.0708019114449921	0.00628303981049165	0.121152325744367	-0.160363956609979	-0.147689252622675	0.259091622305336	-0.0609178178086744	-0.0454667754342628	0.0566755004977185	-0.0416788997871998	-0.125558543136886	-0.173240560994094	-0.394921423304964	-0.311912738709398
"J410"	-0.0824860271622325	-0.0596975988026568	-0.0078095097412015	-0.0564559725806312	0.399317591864603	0.00690677695433518	0.178237276272716	-0.0039300170171309	-0.0682773164153709	0.0652738010492873	0.0704659451082777	-0.117277837987012	-0.0179413173538808	0.206894012521947	-0.151342928533415	-0.328567625178586	-0.0118876093554858	-0.0302522170726437	-0.00362239374988513	-0.0310494182487567
