"X"	"loading"
"MDS1"	0.383722431023903
"MDS2"	0.142001089872416
"MDS3"	0.0804895443822611
"MDS4"	0.0680367043316997
"MDS5"	0.0579663504892931
"MDS6"	0.039866694257314
"MDS7"	0.0343969224148871
"MDS8"	0.0304207512002341
"MDS9"	0.0290964909965811
"MDS10"	0.0212408400318502
"MDS11"	0.017079992875067
"MDS12"	0.0166143311676313
"MDS13"	0.0150883481511164
"MDS14"	0.0140504044966485
"MDS15"	0.011603893472526
"MDS16"	0.0105574208655114
"MDS17"	0.00853535288247159
"MDS18"	0.00735068072978551
"MDS19"	0.00450793491567549
"MDS20"	0.00289090704877291
"MDS21"	0.00212917109102359
"MDS22"	0.001668801020952
"MDS23"	0.000463834956189701
"MDS24"	0.000221107326189365
