"MDS1"	"MDS2"	"MDS3"	"MDS4"	"MDS5"	"MDS6"	"MDS7"	"MDS8"	"MDS9"	"MDS10"	"MDS11"	"MDS12"	"MDS13"	"MDS14"	"MDS15"	"MDS16"	"MDS17"	"MDS18"	"MDS19"	"MDS20"	"MDS21"	"MDS22"	"MDS23"	"MDS24"	"MDS25"	"MDS26"	"MDS27"
"J401"	-0.170382514965775	0.173917123542898	0.0905871373443421	-0.0908240770075909	0.0452648168093409	-0.025710043842814	-0.0281624684634403	-0.31192622767817	-0.184313178908603	0.180976037345591	-0.200869150181023	0.0839718468310466	0.25327579397896	-0.0330946618461773	-0.0705292648159397	0.0588117840299177	0.0733856308305921	0.0642583879240647	0.287418061248666	0.192498109225419	-0.0551558627091801	0.0487983972550148	0.061619952376764	0.0247171571138672	-0.0637256752797855	0.0714533945181236	0.158143573317875
"J402"	-0.146847752393815	-0.193859610142047	-0.205913730065695	-0.128998645439676	0.0840552894720138	0.0583732661240244	-0.108187602876178	0.136762921944408	-0.0465730561680988	-0.167753251269895	-0.0518067245207843	0.0649017010754241	-0.182157144710156	-0.171178838669017	0.0473725533462687	0.0582472483078359	-0.135197531031948	0.118844240126806	-0.0390714242908012	0.077533277757599	0.14817738041574	0.132729324441942	0.234611415198363	0.0869565596999348	-0.127190718952098	0.21757797883718	0.283771138499887
"J403"	-0.147409757820322	0.209108429055724	0.106397172750295	-0.0728718087767432	0.0663778952317319	0.214428303524707	0.0322990526204102	-0.284887137778636	-0.228055066225231	-0.282325109740401	0.228280620089527	0.239234116336873	-0.0790183908362722	0.314921803060856	-0.17462564787357	-0.0822535430173531	-0.0765365490326899	0.238185262041986	-0.116681427183456	-0.158292356725075	0.00229513565658094	-0.100767038958232	-0.00858478276330359	-0.0831258420970435	0.0858379750320946	0.0335036515411099	0.111476724567254
"J404"	-0.187679354434717	0.0305536888481935	-0.0316409154755938	-0.173424482995376	-0.397696088029244	-0.0502114683852706	0.0656477403010146	-0.12160233570542	-0.103554726861256	-0.0994860830501564	0.0630805496810303	-0.136334902139111	0.0504625960920257	-0.0394931921298137	0.0929002375340743	0.0214382032225872	0.266732626168209	-0.144950321614528	0.248754624291818	-0.0664110699708662	0.250109619033367	0.0552950823435105	-0.104142101289535	-0.10429579683128	0.135025067999139	0.0612967743217419	0.0726376072072899
"J405"	0.153989893789094	-0.127828464081052	-0.0547902351766951	0.133121272026269	0.171110152160771	0.0570284090096087	0.295139355196527	-0.20742523836264	0.0196783577490609	-0.111919347147141	0.0119684946894427	0.116989929199432	0.068496378183826	0.0892695708125892	0.147882103702442	-0.246796687786215	0.141329831582079	0.0792565758800849	0.00553941357006198	-0.339550815446278	-0.179340307097302	-0.195629606153333	-0.253213766981115	0.197110689123493	0.0370227042680419	0.234629999650557	-0.0856842867803977
"J406"	0.0328550576780188	0.0520801560489297	-0.217015434595087	-0.303207439917569	0.0267137811315782	-0.162900734162231	-0.102351053097017	-0.0318511978819265	-0.125952391946818	0.153056199378373	0.150126699811082	-0.166325334812173	0.278227377887033	0.00221342226064164	-0.00117392106576941	-0.18785183367211	-0.315854577799528	0.17171924246776	0.242767986745647	-0.146641017545133	-0.0631186775445051	-0.0640999028078049	0.220323398906623	-0.0481134946878265	0.0658281726968292	0.0517948105413947	-0.322837874912075
"J407"	-0.23783948191824	0.0776046309938149	-0.202323820320437	0.0399985465012622	-0.12494137727223	-0.0210193203319284	0.0544699545634654	0.0479923737859928	-9.23793291204775e-05	-0.0543506728699449	0.0420917772268244	0.113896082246303	-0.0580975118783122	-0.0656566762681003	0.0351288392378974	-0.0687115379702577	0.0170106391820011	0.284612960337368	-0.115333522566657	0.140948822260611	0.101475397431255	-0.156032986002843	-0.0776229338767443	-0.208385919466632	-0.0368724237554755	-0.408147738632525	-0.279059882682064
"J408"	-0.295999287321834	0.198265619134303	-0.0129688426230628	0.0562638132713677	0.174791273743741	-0.169510575731164	0.00933989503930235	-0.0462640733063404	-0.016789507063653	0.0749713702032932	-0.160798255593208	-0.180904920253624	-0.00584818642843571	-0.0834042318725219	0.00459648814039718	-0.182202289925937	0.25435343814176	-0.26388428585232	-0.0109938352365758	-0.106910253287297	-0.019674917584769	-0.0047424902585	0.0391961812905235	-0.0268970090385547	-0.0865095562424546	0.0499082745630258	0.149441018151576
"J409"	0.28355546720633	0.0921332350921555	-0.206973596357223	0.248193624149615	-0.0260755535896453	0.0620297917336174	-0.0973931311820516	0.0525994833171895	-0.0869565455919074	-0.0803274656980227	0.0333386238461654	-0.368420864558924	0.0334625790500253	-0.0399824651524612	0.303985295890062	0.0522319634198873	0.237701308276383	-0.00685663552195297	0.0456613838126446	-0.163007024490531	0.0320354868168417	-0.0436821855487803	0.0988622166954501	0.0609847365013546	-0.0134619866418983	-0.0307123806901521	-0.0380832068894211
"J410"	0.0286637195025545	0.124276887840533	-0.136285994900429	-0.0513391342865321	0.121860708098694	-0.127702049513535	-0.0643560079561052	0.0915093714073597	0.247665290701298	-0.191397212198634	-0.090382162844658	0.035234317229964	0.0809654108385508	0.142617543588068	0.0370277862378574	-0.047791326522718	0.16957077507828	0.127124222276788	-0.0283533354596938	-0.127533725832992	0.168786433968057	0.235939062845045	-0.205509496434338	-0.213767848029771	0.111342916447502	-0.181335515959618	0.244831652855803
