"X"	"loading"
"MDS1"	0.265139978393881
"MDS2"	0.163053306313013
"MDS3"	0.11333989192423
"MDS4"	0.0746611822189272
"MDS5"	0.0702773923308257
"MDS6"	0.0586169838177015
"MDS7"	0.0511251016765628
"MDS8"	0.0414271603330404
"MDS9"	0.032237048557228
"MDS10"	0.0280504786928532
"MDS11"	0.0194297456855148
"MDS12"	0.0168440967671991
"MDS13"	0.016533371312101
"MDS14"	0.0110296097636671
"MDS15"	0.00903242445141837
"MDS16"	0.0079430500395736
"MDS17"	0.00655009373385711
"MDS18"	0.00463936788545862
"MDS19"	0.00395213415861025
"MDS20"	0.00287671054885849
"MDS21"	0.00219371479117088
"MDS22"	0.000790187836974933
"MDS23"	0.000256968767332212
