"X"	"loading"
"MDS1"	0.249939758690642
"MDS2"	0.116754590991473
"MDS3"	0.0987605690823386
"MDS4"	0.0876864561757254
"MDS5"	0.0669864627590404
"MDS6"	0.0535845338051196
"MDS7"	0.0499889847866285
"MDS8"	0.0435645776484863
"MDS9"	0.0368781779849871
"MDS10"	0.0309411329867944
"MDS11"	0.0280886402800704
"MDS12"	0.0251417694553416
"MDS13"	0.0230252651786429
"MDS14"	0.0168440602288623
"MDS15"	0.0151398658738791
"MDS16"	0.012595264495207
"MDS17"	0.0115998466350703
"MDS18"	0.00979365837516475
"MDS19"	0.00638990990297105
"MDS20"	0.00583729785005735
"MDS21"	0.00485617260526608
"MDS22"	0.00337244686233839
"MDS23"	0.00173457755703237
"MDS24"	0.000495979788861019
