"MDS1"	"MDS2"	"MDS3"	"MDS4"	"MDS5"	"MDS6"	"MDS7"	"MDS8"	"MDS9"	"MDS10"	"MDS11"	"MDS12"	"MDS13"	"MDS14"	"MDS15"	"MDS16"	"MDS17"	"MDS18"	"MDS19"	"MDS20"	"MDS21"	"MDS22"	"MDS23"	"MDS24"	"MDS25"	"MDS26"	"MDS27"	"MDS28"	"MDS29"
"feces__J401"	-0.0979226070089052	0.0461629467638726	-0.254528888989412	-0.252822316265038	-0.0906345791080167	-0.045701045625754	0.260083013659845	-0.0184435340495322	0.200154909352261	-0.198527306642648	-0.111121213047413	-0.0419458038150511	-0.05904827063009	0.384831848460544	0.0781737934714333	0.0266544947846065	-0.00481512452622065	0.0603313418125806	-0.182046468043255	-0.0502407794807307	-0.105134476044528	-0.117823060618484	-0.0287020785430434	0.189623382633262	0.162106301784705	0.111661754395853	-0.182122819347593	0.382981965543416	-0.0361277320041763
"feces__J402"	0.173213564017026	-0.273120391924669	0.118767189946331	0.000416931775457034	-0.0796992429060867	-0.211733343153861	0.0679059426274332	0.0282844532074957	-0.100008368765269	0.0797406153003494	-0.063563483301565	0.129901386893379	-0.0261158995434233	0.227061625144343	-0.0242289129837578	-0.0310061227544376	-0.256830315053952	-0.187813345595861	0.0840006436974153	0.174851808386506	0.0776196179009988	-0.0603246761458907	-0.0422948700575842	-0.0282668181696402	0.00669648909721399	-0.259924902039843	-0.216265497938291	0.0281038980401057	0.285782367254808
"feces__J403"	-0.293300641630861	0.0704839055759376	-0.211129706584785	-0.120000214562718	-0.0162605185949482	-0.0312548269165279	-0.472654832957129	0.00570967864499991	0.0725401285026476	-0.131059241330292	-0.132668614296571	-0.156919249640687	-0.0362997293091988	-0.0145632660149019	-0.114441884155231	0.0782546731669574	0.314347115854353	0.215909627285352	-0.0236095364261002	0.2038333900853	0.0346432809461343	0.106326516818925	0.183697905116925	-0.0552382215751308	0.162619252654344	-0.0601840916853865	0.0266704709984375	-0.0655532163235935	0.0491609290337805
"feces__J404"	-0.0492112584693308	-0.0267149612759674	-0.261022708454536	-0.00406142005484676	-0.123801925234912	0.266838980864548	0.164012376138186	0.141064315306504	0.22465460014854	0.163301460503312	-0.296509446026495	0.208798467945718	-0.050905284066569	-0.147673983581096	0.0642157399216386	0.175348105738656	0.0278714456951317	-0.163390170644084	0.20514610002937	0.108535557030422	0.189549892531957	-0.289797269461554	0.170471350167547	-0.259078019211362	-0.112086222070077	-0.0280924218991157	0.213592922833121	0.00649297391769856	0.131361407558943
"feces__J405"	0.104276856475436	0.0359996593102377	0.0373608632070134	0.20570125699259	0.203373322017951	0.113879834315575	0.209179855978983	0.1797255598107	0.233181259616584	0.0089283031887746	0.10811427093543	-0.153507905293072	-0.266148871429047	0.0119392233970999	-0.0660043992567173	0.0471535213244979	0.147299602970544	0.143485973508751	-0.231196463022607	0.207461161521674	-0.0688337164759106	0.164031711091934	0.221344211451123	-0.113034459414815	-0.198696897371308	0.102455730412707	-0.0601495483771453	-0.068531994520959	0.0127221694233645
"feces__J406"	0.0765058048451491	0.0179077906463629	-0.0342757396351184	-0.245880427635377	-0.323232180408491	0.0649994021747438	0.120272694909428	-0.138426068719713	-0.0136931049360637	0.0743333487221143	-0.0266890456196995	-0.0353612309687302	0.243801715925057	0.0793862200972592	0.126927838963791	-0.295864339156854	0.431557801861459	-0.0419340847851971	0.179522867326145	-0.020182846565349	-0.256420624852732	0.0947085936672158	-0.114397147514223	0.0668973394022122	-0.0237877671162493	-0.0298701175706902	0.119065237724781	-0.019902511679567	0.171279274332758
"feces__J407"	-0.0985446162143407	-0.343670333034524	0.0960503021629443	0.0948444083212455	-0.0490792867288874	0.110799847272827	-0.0690427072077786	-0.0326894661761305	-0.0716689574429581	0.0329003747436449	-0.158232649230755	0.00431713486925031	-0.169334276075919	-0.0220428379643134	-0.0467023346566747	-0.0113645658592467	0.189741726878008	-0.148280831476647	-0.0268689412919572	0.00320395873120466	-0.316035279876573	-0.207690443588609	-0.158786496252908	-0.0639090290338252	0.000712844722282948	0.239996131080229	-0.137255035844026	-0.0866209588552509	-0.0697647761072347
"feces__J408"	-0.206403482019472	-0.122315348438448	-0.174072908308983	-0.285774210170208	0.194528684619041	0.162313013137607	0.0140330745194763	-0.10460866973941	-0.301159839832753	0.0856332665402928	0.21187130715009	0.0603201070882922	0.0706245150527476	0.015348730361418	-0.363489977924173	0.0662387325790251	-0.181225267977786	0.0284252557696259	0.0639979678887133	-0.0379703714308521	0.0271691782540538	-0.0315143087424437	0.00541325674365954	-0.277468061708817	0.215981569453226	-0.0532785306395397	-0.0861760237721059	0.0485862133575295	0.00543458929488736
"feces__J409"	0.0672326408600426	0.119715303266542	0.108851247472096	-0.154890656602121	-0.0590408297779593	0.126245115867482	0.0612737659574317	0.320921461464485	-0.149624317948114	-0.421978438500633	0.219867747254354	-0.0901381134238328	-0.196693944848576	-0.0771954817601515	0.111829151533787	-0.128986101872951	0.00226330324343099	-0.155975575637911	0.180246077343479	-0.277661979403324	-0.0631472603053734	-0.00459310220580813	-0.0626365227618308	-0.262605759230234	-0.0590999621854217	0.165038630021198	-0.0221067742457323	-0.0740744557162262	-0.0222695631433625
"feces__J410"	-0.201442049892842	-0.0293109318587171	0.267302354866337	-0.0210669463521569	0.0441328478566912	-0.0232402090810903	0.0307569946872637	0.0240729299948979	-0.208828000321134	-0.0700253971609169	0.0447642973416104	-0.064753221250782	0.0712954943721818	-0.132316139425433	0.400369849566669	-0.150869394943326	-0.102288038940947	-0.0616036156110661	-0.273340328315425	0.0597521358238168	0.0355472493902264	-0.100578008608066	0.0552299011382038	-0.137807247979624	0.089466348200659	-0.134462153818756	0.0980377460877836	0.0307849417532847	0.0720595796797468
"feces__J411"	-0.0877118329901814	-0.082167619269219	-0.337199997397039	0.0384390991982466	0.0947898385961943	-0.374787859425961	0.199754830503194	0.0685089653557477	-0.462997742362077	-0.00548841100965043	-0.0812675046078633	0.0825361631190875	-0.141119882645067	-0.0929369241034635	-0.0621795533943133	-0.0137091361402943	0.0849549835110158	-0.0948988506243511	-0.0708957030934521	0.046266603239113	-0.0309906908085669	0.0973827612792209	0.0697592486489808	-0.0719232291455161	-0.0583054751573187	0.147389039245194	0.23661118912872	-0.0202790777262701	-0.172730676591331
"feces__J412"	0.110805099845605	-0.125178208067345	0.0227730551558703	-0.0370228985910472	0.0522464022851814	-0.110304140333789	0.209757104913509	0.215054187557691	0.202429339044544	0.0791685004780008	-0.0553286126934878	-0.0945700747476836	-0.152936787560381	0.0283703964052616	-0.0570124470173007	0.0904958067101053	0.116039956399119	0.175270576238524	-0.225018594225377	-0.227844021832663	-0.0671524255134805	-0.0696496755199455	-0.154408831394895	-0.208817016231352	0.187287628253576	-0.286835265086223	0.110300453885746	-0.0376909513566852	0.107749822707513
"feces__J413"	0.233514540624167	0.143587721697169	0.129602579945468	-0.192032746554349	0.248177205933207	-0.0532993740188495	-0.18655087843606	-0.207541274754421	0.119605552724626	-0.0416247602567891	0.0479206133414813	-0.124134890370067	-0.0972209716238737	0.110599605588743	0.0534413723805891	0.350564896627925	-0.0163784738326477	-0.219147742319124	0.0923551750609449	0.0517725714758098	0.0434912217511206	-0.0784433374765769	-0.166893872308314	-0.0877487089654843	0.051699696516812	0.31378132906551	0.0981998804723802	0.0162574121735055	0.17952613868037
"feces__J414"	0.0315321843117406	-0.189186937123637	0.135489978003424	0.172991725015778	-0.152809483467665	0.109339484795778	0.0805762877922469	-0.149532696230879	0.0519425850016182	0.0808097365580673	0.105799642057928	0.226958812947667	0.0262546581036272	0.0266608963582609	-0.159682620203672	0.0977851268460581	0.0496515144619996	0.344138534157391	0.193004304212382	-0.127181440609272	0.0146248028953076	0.166227936516323	-0.12889438975503	-0.109786273311907	-0.144566271081088	0.215699568473981	-0.126476809554121	-0.173809096277987	0.0081214504204284
