"MDS1"	"MDS2"	"MDS3"	"MDS4"	"MDS5"	"MDS6"	"MDS7"	"MDS8"	"MDS9"	"MDS10"	"MDS11"	"MDS12"	"MDS13"	"MDS14"	"MDS15"	"MDS16"	"MDS17"	"MDS18"	"MDS19"	"MDS20"	"MDS21"	"MDS22"	"MDS23"
"J401"	-0.13336463286963	-0.0697804909465747	-0.221754139483408	0.102535890212118	-0.0730611953307561	0.189621420437475	0.0060783127993365	-0.291253104878812	0.192275284702498	0.123078482538941	-0.0873763233811992	-0.317560730640336	0.0817366317429206	-0.184414804586925	0.0683063741218976	-0.0100094152104438	0.0851798595646575	0.139267965351511	-0.140326695626347	0.0501457111602197	-0.191031710029028	0.155117572997847	0.0162714415008965
"J402"	0.110669166745549	0.128135294520494	0.228738893898505	-0.0222546903169194	-0.350721936830219	0.0829992411025544	0.0504418832644396	0.113939304888753	-0.00090599045379974	0.0874444769494765	-0.117840414564486	0.116821467565913	0.0494019858102459	-0.243329222153583	-0.0100604631706578	0.0749593884134799	0.193700463677524	0.0885280296790292	-0.0486222513948724	-0.0676124301809059	0.0833988740814608	-0.142758495561304	-0.151961678082982
"J403"	-0.357570765059442	0.139045463234175	-0.172730123722599	-0.149365260156572	0.114645298660115	-0.287742802522884	0.119917139075496	0.292861917256023	0.273756169339303	0.171409607121158	-0.0940020605985968	-0.0421837853503577	-0.0502037251127607	-0.0870016667967087	-0.360345364527727	-0.206022793867903	0.0795178726155066	0.139866642023141	-0.186958065033686	0.0236379607586243	-0.0646838920175877	-0.038784451683788	-0.0260872616191586
"J404"	-0.0515061594876266	-0.0197455454633713	-0.0972387376807045	-0.138986024027796	0.0452365605160841	0.496120872779869	-0.0782827469500438	0.0209249048096079	0.065530892394963	0.201551537439162	0.345344401792765	-0.036392272929215	0.0359902758195569	0.0799483572210928	-0.102231234586812	-0.123841287994352	0.0390066027127445	-0.167830128279644	0.0643925916527871	0.135425225934919	0.214599875565632	-0.0403568100173331	0.155569721992504
"J405"	0.111568260707233	-0.0951559829988877	0.0288170629929808	-0.054425210530217	0.225167027307902	0.0144449998060251	-0.0532967798075588	0.0222595150672908	0.057302059039487	-0.22207128608192	-0.251607508136204	-0.193573938115575	-0.0642270161426345	0.0608438064708567	-0.0507213449929493	-0.341604889434563	-0.219574359948686	-0.33197637219446	0.100193064251828	-0.0915327182500985	-0.0212911788973827	0.0826699059404213	-0.057951847457851
"J406"	-0.0293973624392488	-0.149383913864227	-0.160978680730415	0.258687180993091	0.00389953969380002	0.207771474741027	0.112815123125071	-0.158485504759571	0.276395501523127	-0.240147497992543	0.067142128742148	0.1604058160096	0.0439672654793118	0.0292894318695661	-0.13619543076891	0.11360134932855	0.00710116534393332	0.107995990282184	0.156589084233086	-0.00557934234865767	-0.075188530245247	-0.0878032939638426	-0.371962983659581
"J407"	-0.137120778097794	0.248081649760413	0.181670242004852	0.00408259641541061	0.033726220893174	0.262948030497573	0.0568783628374455	0.0133809143805966	-0.0323128286133256	-0.232721953379973	0.0173446608381588	0.0310134996807599	0.120871336654996	0.0148686211360883	-0.195091842786591	-0.206068598679312	0.0438170985358977	-0.00904962818890015	0.0438429041260847	0.166432148467197	-0.103579987369797	-0.130604661852466	0.129223940527491
"J408"	-0.177189002661195	0.205343492050823	-0.179645397306101	0.271547145732634	-0.0652612212664541	-0.0363710604523849	-0.0927090700596548	0.155842197744666	-0.143811618668558	0.166736856016149	0.18822148191334	-0.10388597410312	0.0706534666844637	0.130401383582098	0.11479064885018	-0.0484043503741702	0.0708387347021644	0.0491134351700102	0.139514459725155	-0.0871284029023824	0.0177669730586415	0.217387298368805	-0.0983717073439203
"J409"	0.0707496101967461	-0.187452925759597	0.190131935945393	0.0672780435738782	-0.0562379538171691	0.102612208557346	-0.185907736283018	-0.0629429259169583	0.0927106258305441	-0.0267393606860541	-0.0743896486287465	0.0562018996485934	-0.0184125895769059	0.306410245959245	0.164658126878923	-0.264281647595247	-0.151505498946129	-0.00746491666185913	-0.303032362124525	0.0151516281815824	0.0913375983976876	0.108694135219896	0.137832294122188
"J410"	-0.146147475908466	-0.0123913950377873	0.152631979481126	0.141401868127094	0.00264956841505561	-0.15307683134597	-0.376968916406984	-0.130544796514827	0.0559935988832674	-0.201468627906891	0.084893381277733	0.12323189216016	-0.00650480081459327	0.0538934986257327	0.000985129239590593	-0.0502903767729129	0.247057138864705	0.041481547711573	0.153843002807784	-0.167952559734657	-0.225744514521903	0.0649635195520636	0.12516219348428
