"MDS1"	"MDS2"	"MDS3"	"MDS4"	"MDS5"	"MDS6"	"MDS7"	"MDS8"	"MDS9"	"MDS10"	"MDS11"	"MDS12"	"MDS13"	"MDS14"	"MDS15"	"MDS16"	"MDS17"	"MDS18"	"MDS19"	"MDS20"	"MDS21"	"MDS22"	"MDS23"
"J401"	-0.0634502297252286	0.142257271558737	0.083843510656618	0.0805758347580259	0.068540510276957	-0.283150636779008	-0.334613190019964	0.0053214961511359	0.10463897304379	0.137071593993241	-0.179019558876315	-0.0106125862190877	0.0171787348863825	0.128584409262843	0.0554368431510002	-0.0873575655413863	-0.0438938675770218	-0.0562167151348226	-0.0645351159752873	0.308761594829557	0.0722628136723485	0.00828112472861442	-0.141342195710581
"J402"	0.0268096964073039	0.234214541248002	-0.100926340343815	-0.0710627796807985	-0.227573128909506	-0.0583224255245878	0.201616739925519	0.212233836557968	-0.0116591922837857	0.0686994681987397	0.0261393837009434	0.181598832254657	-0.137871329274444	-0.041418494570734	0.0735482483477031	0.0492448061624397	0.0652425595838728	0.241995369999742	0.102752475196002	0.0385206193999229	-0.124675282585065	-0.0369209171489487	-0.020350022144578
"J403"	-0.184452865658224	0.0746907812204472	0.282702362938192	0.0323991865788572	0.0575509376475746	0.0148103367230602	0.126578830603843	0.083257216480526	0.21497798980096	0.114329193431214	0.113117434621292	-0.207614989148295	-0.00300094983830551	-0.00697139566963216	0.0572157385328841	-0.186995651191889	-0.316376389407772	-0.0955082099910058	0.00444223859805522	0.337526260098208	-0.181039282369342	0.19516861624264	0.328481242568526
"J404"	-0.14892335765296	0.165986788938857	0.105226180685807	0.113032799733376	-0.135688800470076	-0.166115856417622	-0.0781427122962833	-0.0362609645891727	-0.051839990145518	-0.16179092390598	-0.124506451033971	0.171388125017062	0.263909561979116	-0.0193646055582765	-0.163073703557131	0.199680009744654	0.191246794371231	-0.160950165835554	0.0476667681486171	-0.144816627158502	-0.269884223042501	0.399403289917098	0.205832199970242
"J405"	0.333014935712112	0.13504933286713	-0.0334867786361218	-0.07260427747328	-0.312583801885967	0.0175723575422827	-0.087114173830622	-0.0186672018353154	-0.0462484925122523	0.159936163517536	-0.161514818073205	0.119763887735473	-0.195290391409579	-0.0916296488456172	-0.0375408744629073	0.214433343594947	-0.133892361365556	-0.0225702116356481	-0.124992145515251	-0.0288345117467067	0.0424273773692572	0.0270600159416537	0.0514042300577683
"J406"	0.169036475780369	-0.0868460844030164	-0.0900882990256296	-0.0144515787255661	-0.107774017737709	-0.250495283216	-0.18648098446245	0.0306014900049187	0.0535526368172898	0.24514370093086	0.199426189907763	-0.224376025409293	0.148132670281004	0.242050455999954	-0.0755622086943843	-0.154843586563395	0.277000096296962	0.0355810308235386	-0.00342006441167919	-0.183010545618231	-0.174101673092524	0.0328470374116372	-0.0932291652495672
"J407"	-0.172033574881564	0.115343439032199	0.336297889696163	-0.0181595810067877	0.109817942060759	-0.0027519853121963	0.168629228232928	0.0599430662546529	0.0740960416332036	-0.0351092318063382	0.0152364301319157	-0.103648410126143	0.16414381201344	-0.0933397512879618	-0.143387656161466	0.180116871798814	0.23587317712798	0.033523336502875	-0.0840647687136655	-0.270208144528625	0.103894946793322	-0.343439931692406	-0.0254573544425871
"J408"	-0.253330123300195	0.124312154119419	-0.0650534884611969	-0.151573454456391	-0.120976641340788	-0.0716443189088374	-0.220935804273868	0.309843848322621	-0.0622852851990084	0.246148986555222	0.119814090979577	-0.00316344851184781	0.0654400582475429	-0.0381162773608474	-0.29164041929755	-0.00733551353057632	-0.139758781045136	-0.0523276236968405	-0.244041924866595	0.11934247488847	0.159205713031195	-0.103333721068568	-0.221746548548937
"J409"	0.00164635258730659	-0.302156272322594	0.00966250937474825	0.209049653272596	-0.318553604446119	0.359757684690089	0.0565372840950728	-0.016960087487915	0.0667946693269303	0.13376159362327	-0.00186225744228955	0.0565096412571638	0.0685187240557388	0.152153576724983	-0.0160769585222837	-0.0872349244852398	-0.00218694814955397	0.0609827357853299	0.208279691156279	-0.0795496019232962	-0.00175863007318036	-0.0846739808879498	0.131133714168449
"J410"	-0.0691363814946789	-0.0431185072473655	0.178235363174473	-0.137276723647102	0.252671787479508	0.350465844952791	-0.0539852500476704	-0.090573218037324	0.00995404887432312	0.240894257042649	-0.116349176608062	0.0060287721469022	0.107681860810933	-0.11294770437176	0.18538533738256	-0.114614860652005	-0.144109630442128	0.0193725185035182	-0.0365889769988588	-0.151346310555209	0.0501389241045139	0.0165217803216237	-0.0567442127366759
"J411"	-0.390679861048042	0.0393187339282211	-0.373403868661436	0.34881418061188	-0.0722197585849768	0.0517182747063099	0.0308998187244732	0.0210097568055523	0.0537052317792224	0.210713686671784	-0.003812128983232	-0.118378356467089	0.0514692087804111	0.0364797390033709	0.126328194493435	0.0100778600410405	-0.0215984634705036	0.0165890083372064	-0.00542048284809156	-0.0113033299797778	0.0362882543880333	0.0299823033650454	0.140792343247072
"J412"	-0.00225508377393075	0.154875944897922	-0.16918663912431	-0.0232358397345438	-0.109303442196053	0.0226953998727898	-0.0024480994295459	-0.067174039571442	-0.26722855779399	-0.0702759936319253	0.2889271925606	-0.0110003516033517	0.1514488151012	-0.0781635254510695	0.306983440525719	-0.155279181168991	-0.163621461831045	-0.220677618729638	0.0663459350379543	-0.36846745452105	-0.0274079122946255	-0.032270053354596	-0.2291664061049
"J413"	0.0276493604250247	0.016186010481994	-0.0499543084535766	0.0540182492246881	0.00618064238350442	-0.101283394451187	-0.139200913577204	-0.307816429910669	0.301340713612322	-0.29865566528653	0.25196482998999	0.0364482670948559	0.245434809832859	-0.236487512640842	-0.0743106910994838	-0.0965811234114481	-0.159646627825153	0.364242852381643	-0.0900651728749262	-0.0850537280498657	0.038788556870362	-0.0331709459281716	0.0297663964882833
"J414"	-0.18128031550087	-0.00972268159493422	0.0251417730734313	-0.284817769266086	-0.0147349015164801	0.101536480366047	-0.166178141240984	-0.0951620623110301	-0.0201519484018422	-0.320943157065739	0.0811192895890246	0.0234650851219715	-0.102816901523555	0.187644772012382	-0.144863014876348	0.0780530099957497	-0.285311011493603	0.13551158117389	-0.06041565112012	-0.0491935331810396	0.0137147775020055	-0.0586169932498288	0.0126630156647921
"J415"	0.0300459743250784	0.200532993579084	-0.138866938514157	-0.0374352505480065	0.228187175130093	0.0991118026675503	0.182839849295603	-0.137208929987832	-0.415165811288989	0.016741775508984	0.116046624475504	0.0675292226122487	-0.148067735998245	0.385571859775093	-0.180891260638264	0.10558543417914	0.0010623045256432	0.0789500701618861	-0.114292169953431	0.115886323801146	0.0274434059354983	-0.0534447211956056	0.183859259972738
"J416"	-0.145729982214127	0.00289560014630367	-0.023159411492249	0.120342946613037	0.167107857360996	-0.117672683013846	0.119356703616249	-0.334506410199792	0.0589889783994168	0.144191641796029	-0.139898769631096	0.200834869714394	0.0160698509178983	0.0372061208270818	8.8960279221798e-05	0.0761123091771858	-0.0914457907271513	-0.207010463594206	0.288910541332948	0.0182852534993448	0.0184061633455593	0.031135010859877	-0.428689644019211
"J417"	0.0824931800858129	-0.210334418012084	0.115785102113495	-0.162141612929051	-0.0316180160370752	0.0425398665240662	-0.102886118931083	-0.303429702945142	0.189660934313904	0.172458223512784	-0.00965037463049723	0.118212640691017	-0.042383328669135	0.256124743138067	-0.0359985439376628	-0.0529903148373753	0.273765464606514	-0.0730242909033868	-0.257685796446987	-0.0758806854308838	-0.0080884833282731	0.138716678874601	0.0438364585574767
"J418"	-0.0190549068632836	0.10657645503016	-0.0797477490286679	-0.0933234738239564	-0.128941125160899	0.0324797261227545	-0.0227275972614242	-0.299335404342217	-0.270732203576272	0.0830195776951699	-0.0212330863558175	-0.170376424674787	0.057916669058029	-0.174725339260963	-0.053728400448272	-0.257254430309306	0.0427137621949861	0.288305052179923	0.121657559133252	0.157852622466569	0.241488414624907	0.199758155626746	0.0533479044747167
"J419"	0.0115659874459359	0.1245385140574	0.021540530273242	-0.059091807661992	0.156169978601779	0.0702172326590752	-0.158852879431253	0.143072579238411	0.00482225544569067	-0.0345031377835358	0.0866855745927575	-0.341891933592047	-0.387285489823787	0.0129356861775102	-0.249810022001126	-0.0082337980689877	0.0577088106119137	-0.115582841228592	0.300647011177089	-0.240977334360142	-0.0413078833153284	0.164066444124332	-0.0992472768048984
"J420"	-0.01169275378117	-0.0400479162250032	0.0735736008912237	-0.161431907589845	-0.160390873733952	0.0742555885217146	-0.0540571899819255	-0.120865626004785	-0.0254617727707091	0.0138895953268676	0.0170685537606007	-0.1739618587804	-0.0424163361136873	-0.0870025391389509	0.145084671273377	0.296045973454751	0.0462968174198762	0.192910321182604	0.0879914206528935	0.133013953649162	-0.375187337319831	0.168130522233301	-0.111739786259946
"J421"	0.0440044340803798	-0.134176117283946	0.193354537842917	0.149645191603205	-0.0842905002624701	0.0195250210706641	0.275876632364032	0.0594597229135468	-0.145007628645786	0.181759597878746	0.294920143831429	-0.0375730049843715	0.075738533872888	-0.207670071471193	-0.288922612632587	0.213580781620914	-0.0550660061987428	0.0439675871818025	0.0478054066869266	0.0299501007918567	-0.00862602981308049	0.0152666465830937	-0.00557732226374248
"J422"	0.11873376302414	-0.134782767252514	0.14578179190459	-0.0487904742950004	-0.12191140393202	-0.303836122040824	-0.112351343822988	-0.145527342694357	0.0867072668424347	0.0637698728013793	-0.120062382150591	0.121949218534078	-0.221384672152511	-0.094039154431837	-0.0377213587003183	0.137312456140401	-0.163462681384906	0.0617569947285333	0.296386708108552	0.00785624133379616	0.133018649780239	-0.272287326811379	0.109538342011922
"J423"	0.0127574759348582	-0.0743836011639319	0.188507549143229	0.0179909673813864	0.0844527969358262	0.0574887498486878	0.0955972617355647	0.145893625510712	0.0772040248261065	-0.167950963892451	-0.0158963439150877	-0.00359742759605805	0.0267487458787251	0.473858316066546	0.0611827461879735	-0.0362279902734836	-0.141824225154581	0.22465107904045	-0.0189993604868232	-0.0535218743430245	-0.131768957094184	0.0621137987239538	-0.252875271089362
"J424"	0.162219315240287	-0.0429760220214282	0.130218471237224	0.0856734518153379	0.0889696229929732	-0.0730261512420994	-0.0139004121885996	0.00821783782873369	-0.27769800037312	0.110794829008742	-0.347328755769537	-0.295944397467671	0.00514245781688992	-0.126616206511471	0.222102432373527	-0.0116534468322072	-0.0366649172810709	0.17880026818079	-0.392770137634045	-0.16805385812632	-0.0647538100052813	-0.0673047579684851	0.0596407682205839
"J425"	0.138439564910813	0.234452131279166	-0.103458280644688	0.0531523185993884	0.174596599831319	0.224939617312823	0.116202729232802	-0.0260121078634942	0.178739467434028	0.101220306106568	-0.151558578482065	0.288255489559827	-0.0645009342343677	-0.153688637190238	-0.228163303968678	-0.125698601596206	0.00983936652229498	0.0806363929879927	-0.0942885691334492	-0.0701886145433876	0.0652523801052034	0.240031652683126	-0.168831095415764
"J426"	-0.176533440877659	-0.0979866874631555	-0.0939910376867333	-0.151232698584889	-0.112383856476079	-0.14460281415559	0.321526434063307	0.107484887903377	-0.0849693097441749	-0.20149584898535	-0.32644585996449	0.156257922483023	0.132581299412325	0.0211497752025514	0.0180580996786161	-0.0180905581791539	-0.0491367323639241	0.00297943314958617	-0.157343184766192	0.015858306380975	-0.0929850865775558	0.0907843437330782	-0.087784051930157
"J427"	0.00590849273252822	-0.168816642484132	-0.135193030772928	-0.0996170683293825	0.374105446272645	-0.121008779077591	0.0843213036762112	0.116083876089576	0.0243721983901739	-0.0733800688028208	-0.0765870792368324	-0.171543276476463	-0.135106075265576	-0.22833723198347	0.142297032799164	0.122103574545707	0.135064047531033	0.0926450927635159	0.181798592387132	0.0189862452890346	0.021289638710197	0.203499985814335	-0.0137868827595767
"J428"	0.0024559669646531	0.0317023784468008	0.159573197838432	0.0847634748825888	0.0191979763740691	-0.0695226476235964	0.104006080236659	-0.007452060851	-0.0804970723248752	-0.0429595358718875	-0.107950849842799	0.106659073267861	-0.178620220260056	0.0972778393933487	-0.0651856008608557	-0.386270221896284	-0.0288950385102446	-0.00777675034257002	0.200399429734903	-0.150946365410962	0.00117543832141372	-0.112810053443707	0.2409168029247
"J429"	0.225861048722738	-0.215680390130375	0.0837600243647367	0.130080080413375	-0.00502632875463434	0.104151756013167	-0.111952603056942	0.237340200566381	-0.174191198337177	-0.249185477069926	-0.0132577647627271	0.10163175224426	0.0484061057456272	-0.237971642735838	-0.214519134879226	-0.362848090631353	0.0375625461749163	-0.101556639227565	-0.0218417001666711	0.242878985043772	-0.224866740768958	-0.0456675774917767	-0.2084935548461
"J430"	-0.0736951862427336	-0.0645672737087632	-0.0755263261143904	0.0204527901478203	0.365809105777812	-0.109789744224869	-0.216879776270327	0.0669073008968018	-0.098427791946019	0.0403181586480383	0.185683279102985	0.259585237490494	0.0904768439635316	-0.0594088023360969	0.0738787145617757	0.177968522368576	0.00429394185238293	0.102653163121301	0.0169425293911709	0.0296789930571234	-0.145107142937469	-0.165920331669333	0.19964172750027
"J431"	0.194640573851402	0.216097830093433	-0.0114768527839636	0.0860949525002905	0.0919028114983994	-0.217246650092506	0.16421713465714	-0.0154731017324626	0.108028606260714	-0.0148365968341009	0.306576897691375	0.180427927194638	-0.195174790534077	-0.0193294526694316	0.255568096171859	-0.201785983948234	0.167170107010054	-0.0438534200782512	-0.154906171248886	0.0584866738439578	-0.089843794138225	-0.0526278962077632	0.088516603872372
"J432"	0.184589935325622	-0.11518604513351	0.118398927455018	0.0968753123443995	-0.0344703273901118	-0.000680820993868664	-0.149971927019752	0.0534247703889959	-0.175136889896736	-0.181149990323808	0.152616982974798	0.0558274338673554	0.0211866613061113	0.0629524479234811	0.204948630009828	0.184039527671357	-0.22390649820424	-0.322720605644473	-0.0542796648051632	-0.0215400255902448	0.313447678114647	0.311020021015739	0.103696760347557
"J433"	-0.09859538955981	0.00826285759025384	0.188358649263217	-0.0636911438850315	-0.0726404354131361	0.00482797378820328	0.0694799892043935	0.18848107703374	0.0888939820833181	-0.131666212135843	0.0426350832580166	0.028571668797055	0.0260280363183625	-0.0155768876306263	0.0891447072076455	-0.0263968127846124	0.346199904917267	0.0145246487122279	-0.00865151476180825	0.0240644051174164	0.552191317433803	0.15821193856126	0.0509987514706683
"J434"	0.417376274190313	0.0544587981555239	-0.0558063258506752	0.022165433729714	0.136872923844484	-0.00238228816248594	0.130672495352456	0.216839945307333	0.136969825412785	0.14426663017132	-0.0389596304771293	-0.0428661939340262	0.413932629801527	0.154294867163193	0.0368222859885278	0.168170974829416	-0.166510943727278	0.00721504648361753	0.184693692390288	0.0631537503113964	0.10345631974263	-0.0810405846503695	-0.00233031603506346
"J435"	-0.0382595961877544	-0.532078906024821	-0.331781182111296	-0.0633045183424322	0.0735998206659873	-0.120609316102522	0.189590595941407	0.00814688111995037	0.113513931716225	0.0528741084346783	0.107156950021679	-0.00024738372123341	-0.184146991628592	-0.0767733488535935	-0.140582048834955	0.0208842360595492	-0.0775026983142634	-0.108028244040706	-0.242698271216726	-0.0479282875665755	0.0475930303154062	0.0684867969093083	0.0303842323039943
"J436"	-0.000802159476780686	-0.127007353573711	-0.217339999314874	-0.205856226135476	0.0855439817183781	0.109922919365543	-0.199178755298389	0.0682996291256476	-0.182210971773398	-0.0665923655401005	-0.136913902095326	0.0813290417849052	0.242048154789717	0.0639149744196756	0.0130337238663741	-0.0668663349057441	0.243515229661619	0.00838164863718732	0.25698942409977	0.185911902083473	0.0436726317350567	-0.123661368640951	0.166039360346973
"J437"	-0.0200846664366733	-0.00881221696123404	0.11705877701908	-0.0528786783395227	-0.0829698705266755	0.13526110408101	0.16072221300152	-0.263759667225325	-0.0552344378215939	-0.0850591065195866	0.163651186451046	-0.119107116245035	-0.0397776919810066	-0.013326744629209	0.157383603967013	0.100220846094987	0.234628511803868	-0.202070268726462	-0.048052846062576	0.403318557010744	-0.00477787414236503	-0.207876734065097	-0.23508154571982
"J438"	0.134216936844234	0.203223973033279	-0.258024648077965	-0.197756220669483	-0.0464289924802019	0.327774111889512	-0.0447639262857913	0.08670803309111	0.381152408429509	-0.136162727673426	-0.0452027408971104	-0.0982859613100374	-0.00578827137164343	-0.0507830220481328	0.0648447414809967	0.0939356981639808	0.0327709299497253	-0.158669066934635	-0.0489347912258799	0.0418050064840712	-0.0666652505211868	-0.0932909115687467	0.120547549414011
"J439"	-0.122618578426274	-0.047710790791427	-0.00269160956705048	0.490342096841327	-0.0482915468129212	0.181988205220548	-0.255159238049226	0.143878083073761	0.0173237620878516	-0.126566044485548	-0.0345580803404411	0.10738978067755	-0.274372193079261	0.0158814316120586	0.180616915034944	0.151844903498894	0.114602369059775	0.20647367364579	-0.0649075285520416	0.0073233820410709	0.0334788774008891	-0.0716302263029728	-0.136055576320098
