"MDS1"	"MDS2"	"MDS3"	"MDS4"	"MDS5"	"MDS6"	"MDS7"	"MDS8"	"MDS9"	"MDS10"	"MDS11"	"MDS12"	"MDS13"	"MDS14"	"MDS15"	"MDS16"	"MDS17"	"MDS18"	"MDS19"	"MDS20"	"MDS21"	"MDS22"
"feces__J401"	-0.1541147725326	-0.0517514959308016	0.148538446467932	-0.291679108133602	-0.0528727087115546	0.0788232406343898	0.0931455887516899	0.104124101796378	-0.285500777270538	-0.0642363408138519	-0.226395313007052	0.158700024486585	0.073563461017391	-0.0879847482714962	-0.00605861509301646	0.0300033331227081	-0.242624480963277	0.00397663152381089	-0.0679384487610453	-0.0279935505108279	0.0812991329719953	-0.290483682184753
"feces__J402"	0.133409192283879	0.247716399044485	-0.270853333073006	-0.126504033719113	0.0326367080046294	-0.0506146259170572	0.30974136629757	-0.0565434159505329	0.156629329017107	-0.0719650645266927	0.0624111514332826	-0.0519361517879307	0.0943945056386803	0.0267753382081199	0.0203641845534906	0.106375907395563	0.165213218642883	-0.187296839152199	0.111203350894857	-0.0346607176540031	0.0128153647139742	-0.0438651185501343
"feces__J403"	-0.406027192045762	0.0445258784303021	0.326737162946181	0.140317491604458	0.085153129651621	0.0142875266441237	0.226927150916929	-0.288120220083781	0.107320298011259	0.0540269108427561	-0.0756741915326351	0.0476963210997927	0.00776933632182999	0.165099126096873	-0.138892896426779	-0.032417570558029	-0.157038860811748	0.0336912547925284	-0.0467234143664376	0.0334999229175745	0.222498159930734	0.13513781288068
"feces__J404"	-0.0882305168075996	-0.0187732297697713	0.175971065706192	-0.244582605664004	-0.389351586881009	-0.357077593905127	-0.230867138226616	0.106973099838102	0.00767020505197924	-0.066303680286918	0.0553545230422158	-0.13012549870758	0.042200570707172	0.323199484755545	0.0313340936674438	-0.0758257923564996	0.00422470925567871	-0.0431462344819403	0.0660274949698535	-0.0241539768972154	-0.104255118871527	0.160151627489951
"feces__J405"	0.1360049088432	-0.0735655620536523	0.0934365203066376	0.203510662435222	-0.107043954660716	0.0410633820337387	-0.199062633394816	-0.0473996970117248	0.102169197877213	0.0759488207907164	-0.131807074314164	0.382607755431048	-0.0674529501884579	-0.0409936752169903	0.111628189255757	0.194825867400477	0.225629845710806	-0.0247409109149678	-0.169256237732818	0.0722143512269538	0.146805710839817	0.178159773171694
"feces__J406"	0.000277490836807619	-0.143810996335646	-0.0403493344798106	-0.34243888608954	-0.083197815319749	-0.107300183961724	0.208665152393564	-0.107569992642658	-0.0380265613696337	0.310110226672532	0.0932776110707067	-0.141677448009318	-0.134319154847153	-0.253767494816306	-0.139132795204304	-0.224074782612201	0.0693273608987467	0.357167246076856	0.0608358143714183	0.13243419839398	0.167692188900565	-0.0636622341470025
"feces__J407"	-0.106540037950909	0.333838437949968	-0.100309951332054	-0.0749348588309655	-0.0590261201878924	-0.0472383999070897	-0.277728510786768	0.0539781156790411	0.258726907765469	-0.0385097262482318	-0.0976413963677002	0.0847698776501471	0.0443627799739724	-0.0161033179515629	0.0896961859085316	-0.134080377455327	-0.109039303753838	0.284160157021443	0.0459187973498819	-0.077666143033336	0.0438286060831802	0.0928322750699145
"feces__J408"	-0.168076345552083	0.0588979042096546	0.0845795835304316	-0.137173632372477	0.233821123377368	0.0883781174917734	-0.213762927485367	-0.00317896478213263	-0.131625672570398	-0.204583307795204	-0.152787401223747	-0.113356182543416	0.0334726238413346	0.0678939943958787	-0.258563653039285	-0.0654252127818026	0.127302329936395	0.0312311740474491	0.120233333754028	-0.134659772790675	0.0673030906828559	-0.0634372714870536
"feces__J409"	0.0650321436591544	-0.192101467457776	-0.121181606404423	0.0977350322875717	-0.0880606911874527	-0.129839432318371	-0.266050667330992	-0.0985339412719262	0.150109422296033	-0.0861804361805984	0.211807552352286	0.243409837461173	-0.180948888911697	0.085650459423435	-0.00152891305897033	0.0888729253087507	-0.341260968474175	0.0624765915674628	0.142807404700615	0.1468340369995	-0.0913562463065311	-0.272434917933397
"feces__J410"	-0.119110478135228	-0.0999904910195422	-0.130466712833466	0.201430561905811	0.181149456889042	-0.0308038470296277	-0.260174986995119	-0.0103809656422361	0.0425287111655654	0.280917001879688	-0.0919584598280436	-0.044198757634847	0.309560565947445	0.0345529050600548	0.145906385557222	-0.230010425053678	-0.0780053353212411	0.0248372763177302	-0.0260494362270041	0.0859490179270773	0.200154061387959	0.0238124821516814
