"X"	"loading"
"MDS1"	0.180251247024787
"MDS2"	0.159347847143207
"MDS3"	0.0791118161546125
"MDS4"	0.0685514062169092
"MDS5"	0.0610134307893785
"MDS6"	0.0590360578177573
"MDS7"	0.0486138349918791
"MDS8"	0.0396068532608723
"MDS9"	0.0365452051389232
"MDS10"	0.034374347276181
"MDS11"	0.0295013670775151
"MDS12"	0.0262705311018742
"MDS13"	0.0254374503706353
"MDS14"	0.0234715373331475
"MDS15"	0.0199152536260419
"MDS16"	0.0177793459036313
"MDS17"	0.0158573647546768
"MDS18"	0.0143276358556403
"MDS19"	0.0125189195885746
"MDS20"	0.010945200094297
"MDS21"	0.00856475155311233
"MDS22"	0.00802404407935262
"MDS23"	0.00669750487970845
"MDS24"	0.00567752648757318
"MDS25"	0.00412649444195696
"MDS26"	0.00271700151676231
"MDS27"	0.00171602552099266
