"X"	"loading"
"MDS1"	0.207604353370875
"MDS2"	0.164224521237561
"MDS3"	0.0637925006205259
"MDS4"	0.053419046245445
"MDS5"	0.0461025791226211
"MDS6"	0.0409260096631152
"MDS7"	0.0335845515057098
"MDS8"	0.0313143141562413
"MDS9"	0.0286174517509928
"MDS10"	0.0269162543726693
"MDS11"	0.0253731622525689
"MDS12"	0.0243237946038443
"MDS13"	0.0224890646429881
"MDS14"	0.0222053244384227
"MDS15"	0.0209825626069613
"MDS16"	0.019193766532014
"MDS17"	0.0179770907126666
"MDS18"	0.0165065473705043
"MDS19"	0.015794665541089
"MDS20"	0.015078037864073
"MDS21"	0.0127684895584629
"MDS22"	0.0120815272393396
"MDS23"	0.0118402777786416
"MDS24"	0.01035980679107
"MDS25"	0.00934921958129458
"MDS26"	0.00799396310025242
"MDS27"	0.00720753648484629
"MDS28"	0.00623697689681086
"MDS29"	0.00538374360430466
"MDS30"	0.00530419549917644
"MDS31"	0.00415993708264574
"MDS32"	0.00345182325036828
"MDS33"	0.00294636772960868
"MDS34"	0.00243990491863786
"MDS35"	0.00188628208616493
"MDS36"	0.000164349787486998
