sample	Actinomycetales	Anaeroplasmatales	Bacillales	Bacteroidales	Bdellovibrionales	Bifidobacteriales	Burkholderiales	Campylobacterales	Caulobacterales	Clostridiales	Coriobacteriales	Cytophagales	Deferribacterales	Deinococcales	Desulfovibrionales	Enterobacteriales	Erysipelotrichales	Flavobacteriales	Lactobacillales	Myxococcales	Neisseriales	Pasteurellales	Pseudomonadales	Rhizobiales	Rhodobacterales	Rhodocyclales	Rhodospirillales	Selenomonadales	Sphingobacteriales	Sphingomonadales	Synergistales	Thermoleophilales	Verrucomicrobiales	Victivallales	Xanthomonadales
feces__J401	0.0	0.5859903259034557	0.0	4.039667017010009	0.0	0.2903832218047613	1.7347013671387028	0.0	0.0	4.2044468804396296	1.651006801256711	0.0	1.9081177824015612	0.0	2.292413386483668	2.0080291922921996	1.2349377169319538	0.9806437964792489	2.8376077426779527	0.0	0.0	0.0	0.46286675398422283	0.46286675398422283	0.0	0.0	1.9131942857476085	1.0940793127528274	0.0	0.0	0.0	0.0	0.7602588018070495	0.9806437964792489	0.8266833879749061
feces__J402	0.6958781287639408	1.338730965838024	0.0	4.091684911711577	0.0	2.7154704060133072	2.6183550001893967	0.0	0.0	4.0751684848666665	1.7596266849423312	0.2991001544898148	1.619473498109606	0.0	2.075345328505718	0.8417844716011146	2.4600380451454815	1.619473498109606	3.3311900196911295	0.0	0.0	0.0	0.2991001544898148	0.0	0.0	0.0	2.5327014415742317	1.2973559348458645	0.0	0.2991001544898148	0.0	0.0	0.4745462227741883	1.2973559348458645	0.0
feces__J403	0.7030053360789218	0.7030053360789218	0.3035564685417966	3.97700907525397	0.4804866296231376	0.4804866296231376	1.4027779267863778	0.4804866296231376	0.0	4.259610298619553	1.4819925817668156	0.6058442103534636	1.804299363908585	0.0	2.1603393397094877	0.4804866296231376	0.3035564685417966	0.0	2.416638623117176	0.0	0.4804866296231376	0.0	0.4804866296231376	0.8494201800420308	0.0	0.0	1.729219678891534	0.6058442103534636	0.0	0.0	0.0	0.0	0.0	0.0	0.0
feces__J404	0.0	0.5977869674454478	0.29818598953506004	3.9640823939863994	0.0	1.2250799376950352	2.058800747997685	0.0	0.0	4.237703710371552	1.31678599309767	0.7734008404274654	2.664551368045324	0.0	2.482862607555303	2.1466220368955806	1.9899864558954021	0.4733250927336441	2.6494443842620514	0.0	0.0	0.0	1.31678599309767	0.5977869674454478	0.0	0.0	2.1496694471111857	0.7734008404274654	0.0	0.4733250927336441	0.0	0.0	0.29818598953506004	0.694410611784314	0.0
feces__J405	0.0	0.0	0.3080886970868972	4.201975316086654	0.0	2.1244873751799496	2.7751564368026056	0.0	0.0	4.038570963266343	1.8267057960733684	0.4865075899164296	0.7102095059754693	0.3080886970868972	1.532100637739273	1.6264521101558835	1.557678627930139	1.1591470612809516	2.4322531968388557	0.0	0.0	0.0	0.7102095059754693	1.0920358068899017	0.0	0.0	2.285772412857583	1.0541425541704585	0.0	0.4865075899164296	0.0	0.0	0.0	0.9667130767933875	0.0
feces__J406	0.2820295056857387	1.2186552664558248	0.0	4.142832940325192	0.2820295056857387	0.8119980958566404	1.5185601226153609	0.0	0.0	4.112349009354019	1.677914181457036	0.45159793928458986	1.2186552664558248	0.0	1.8647275373652594	2.414591055935746	1.891026610734013	1.3246217644082374	2.8986944043058656	0.0	0.0	0.0	1.006203239297578	0.2820295056857387	0.0	0.0	1.6942756864732311	1.043686239503207	0.2820295056857387	0.0	0.0	0.0	0.8119980958566404	0.7460056450328282	0.9651769434041477
feces__J407	0.0	1.4663426051563766	0.0	4.044460900305596	0.45079127382430506	2.1124653944727902	1.9976930887539655	0.0	0.0	4.198180659064068	1.8355024688149513	0.45079127382430506	2.34744321048764	0.0	2.429845631201696	0.281433669996159	2.118535434023688	1.00507807133369	2.5587775266577473	0.0	0.0	0.0	0.0	0.281433669996159	0.0	0.0	1.942589990901911	0.8681934093380935	0.0	0.0	0.0	0.0	0.0	0.0	0.0
feces__J408	1.4043056636581621	0.9747635331237393	0.0	3.8718003124902527	0.0	0.8210971525322508	1.9721573174997244	0.0	0.0	4.297075834200738	1.9891794854954958	0.8210971525322508	1.9067030487509558	0.0	2.18688780435661	1.177799492659522	1.0158936731566004	1.27434756250773	2.662122161376066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5958075206082518	0.4585696956537902	0.2871911467973397	0.0	0.0	0.0	0.0	0.0	0.5811327600424975
feces__J409	1.3124015385351582	0.9717514123137728	0.0	4.223287686983449	0.0	1.3847244309853675	2.523681636963085	0.0	0.0	4.021423758594908	1.7819119344480834	0.0	0.7520593393514104	0.0	1.0503918116097226	1.7819119344480834	1.9600555443991319	0.28556368594823905	2.3188900449183896	0.0	0.0	0.0	0.4563746397468783	0.28556368594823905	0.0	0.28556368594823905	2.2846243474137857	0.6739524286660095	0.0	0.0	0.0	0.0	0.0	0.7520593393514104	1.401068433974388
feces__J410	0.0	0.853272328746356	0.0	4.19932023837233	0.0	0.9114329479839941	2.155582593626631	0.0	0.0	4.064516867835182	1.6220759195538137	0.0	0.9627166146914855	0.0	1.5277502817884	0.3058170087830783	1.5890575142772057	0.4834922847204552	2.7145112186854212	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6527604095420072	0.9114329479839941	0.0	0.0	0.0	0.0	0.0	0.0	0.0
