#OTU ID	J401	J402	J403	J404	J405	J406	J407	J408	J409	J410	J411	J412	J413	J414	J415	J416	J417	J418	J419	J420	J421	J422	J423	J424	J425	J426	J427	J428	J429	J430	J431	J432	J433	J434	J435	J436	J437	J438	J439	J440	J441	J442
denovo30	7	2	8	16	0	3	18	4	5	6	17	8	1	4	1	13	5	4	5	9	8	3	3	4	5	20	2	2	2	3	5	2	13	5	1	1	3	12	10	16	4	2
denovo59	0	0	0	0	0	0	6	1	6	0	1	0	1	10	0	2	15	3	0	10	10	0	10	1	0	8	0	8	2	3	0	8	7	0	1	0	3	0	0	12	2	1
denovo70	0	1	0	0	0	1	1	1	2	0	0	0	0	3	3	0	0	1	4	1	0	0	0	0	0	0	1	0	0	3	1	0	0	0	0	5	0	0	0	0	0	0
denovo110	1	2	1	7	1	3	0	5	2	0	1	1	0	4	0	2	4	0	5	0	1	5	0	0	0	0	7	3	12	3	0	3	3	2	15	9	2	5	2	2	12	10
denovo116	0	0	4	0	0	2	2	0	0	2	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	2	0	0	2	0	0
denovo137	0	2	0	0	0	2	0	0	3	0	0	0	1	0	0	0	0	0	3	2	0	0	0	0	0	0	2	3	1	2	0	0	0	3	1	0	0	0	3	3	4	3
denovo170	0	17	7	7	3	8	0	2	16	9	1	5	15	4	1	28	2	10	2	0	4	4	6	37	0	5	11	3	12	0	1	9	4	12	8	5	3	42	14	0	6	22
denovo187	4	22	1	14	6	6	0	0	1	4	9	0	5	10	0	0	0	9	0	6	0	1	0	0	0	0	0	0	0	0	7	0	1	0	0	0	0	5	1	0	0	0
denovo211	0	0	2	0	0	3	0	1	2	0	0	2	0	0	3	0	1	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	1	1	2	1	1	2	0	0	6
denovo224	9	5	7	5	5	17	9	4	13	25	1	19	8	17	10	18	16	17	24	8	11	18	33	26	18	7	27	27	21	14	11	6	7	41	51	3	17	14	8	58	17	18
denovo231	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	1	0	1	0	0	0	3	0	1	0	0	0	0	0	0	1	2	0	2	0	0	0	0	2	0	0	2
denovo250	0	1	0	4	7	8	0	2	0	0	3	8	3	0	5	3	8	0	5	3	0	4	7	4	0	0	2	4	10	3	2	3	3	9	12	1	6	0	0	2	5	8
denovo259	0	2	0	0	4	1	2	0	0	0	0	0	0	9	4	0	0	1	4	0	0	0	0	0	2	0	7	4	0	0	2	0	0	0	0	3	0	4	0	0	0	1
denovo307	0	1	0	0	4	2	0	2	5	0	0	5	4	0	1	0	2	11	3	2	8	8	0	1	1	2	6	1	10	4	4	0	2	6	2	6	2	13	0	0	4	12
denovo330	3	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	3	0	4	0	0	1	2	1	9	0	2	0	1	0	0	1	0	1	0	0	1	1	0	1	1	1
denovo336	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	1	0	3	0	1	0	0	0	1	0	1	0	0	1	0	0	1
denovo364	8	1	17	9	2	4	9	16	2	3	25	2	0	6	2	4	1	7	2	12	14	8	0	0	2	9	0	4	0	1	5	4	23	3	1	5	3	2	15	29	1	0
denovo406	13	0	18	24	0	3	41	0	75	127	9	10	37	49	0	70	103	17	1	1	81	36	53	1	0	67	32	55	30	27	0	50	19	0	25	31	46	0	50	74	17	0
denovo481	4	1	11	4	1	1	19	14	3	1	1	6	5	1	0	4	0	2	1	5	1	0	5	2	7	4	8	0	0	0	5	8	2	2	0	0	6	14	6	3	0	0
denovo486	0	0	5	0	0	1	4	0	15	7	4	0	0	3	0	6	8	0	0	3	3	5	17	6	0	19	4	4	5	0	0	2	2	0	13	2	1	0	0	2	3	5
denovo505	28	1	175	55	0	2	121	2	212	336	15	5	77	198	0	292	688	19	3	193	198	93	205	0	0	290	79	104	45	58	2	46	103	0	175	50	211	0	55	223	38	0
denovo517	1	2	0	0	5	1	3	0	2	0	0	0	2	0	1	0	0	2	0	0	1	2	0	1	2	2	2	2	0	0	3	1	1	0	0	3	0	0	5	0	0	0
denovo528	14	4	11	7	6	10	44	23	4	14	22	4	0	1	5	25	6	1	6	6	5	9	2	7	4	39	1	8	0	0	3	2	8	4	6	0	4	5	18	19	11	7
denovo553	0	4	0	3	0	1	1	1	0	0	4	2	0	0	5	0	0	0	3	2	0	0	1	0	1	0	1	1	0	0	0	0	0	2	0	5	4	0	2	2	0	3
denovo567	0	0	0	0	2	0	0	0	0	0	0	2	3	5	1	0	4	0	0	0	0	0	1	0	1	0	0	1	3	0	0	0	0	1	0	0	1	0	0	0	0	0
denovo628	2	2	0	3	5	0	0	0	1	3	0	0	0	0	0	0	0	5	1	1	0	0	0	0	2	0	1	0	0	0	2	1	31	0	0	3	3	0	0	0	0	2
denovo634	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7	22	0	0	0	2	0	1	0	2	0	2	0	1	0	0	2	0	2	2	0	0	0	0	0	0	0
denovo646	0	8	0	0	3	0	0	0	4	0	0	5	24	0	6	0	0	2	6	2	0	1	0	0	7	0	4	11	0	8	0	0	0	0	1	18	2	21	0	0	4	3
denovo650	0	0	11	1	0	1	3	0	9	12	2	0	2	7	0	2	2	0	0	12	9	3	1	2	0	0	1	8	4	1	0	0	7	0	1	3	2	0	5	5	4	0
denovo703	4	0	0	0	1	0	1	0	2	0	2	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	6	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0
denovo732	27	13	34	24	4	20	13	43	8	11	36	6	4	2	4	8	15	5	10	9	28	4	10	2	4	13	8	13	2	3	2	3	17	19	4	4	4	12	28	29	11	5
denovo790	2	2	0	0	0	2	0	0	2	0	0	0	0	0	2	1	0	0	0	0	0	3	0	3	2	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	2	1
denovo801	2	3	0	1	10	1	0	0	2	0	0	10	10	0	1	0	2	2	4	5	0	2	2	4	3	0	2	2	6	1	2	10	0	2	1	0	3	2	3	0	0	4
denovo802	0	6	4	1	1	7	0	2	2	1	0	1	0	0	2	0	0	0	0	0	2	1	0	5	2	0	0	4	10	3	3	6	0	11	0	0	0	5	0	0	3	2
denovo868	1	0	0	0	1	0	3	2	0	0	0	1	0	0	0	2	0	1	0	3	1	2	3	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0
denovo929	0	0	3	0	0	0	1	0	2	1	0	1	1	0	0	0	2	0	1	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	2	0	2	0	0	0
denovo943	0	0	0	0	0	2	1	3	0	0	0	0	0	0	1	0	1	1	2	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
denovo948	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	2	3	0	0	1	2	0	2	0	0	2	0	0	0	2	0	0	3	0	0	0	0	0	1	5	0	0
denovo950	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	1	3	0	1	0	0	0	3	0	0	1	0	0	0	0	0	0	0	3	1	0	2	0	1
denovo965	1	1	0	0	0	2	0	3	0	1	5	2	0	0	0	7	0	4	0	2	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	4	2	0	0	0	0	1
denovo992	1	8	2	0	14	6	5	0	8	0	0	9	6	1	3	0	1	6	2	0	5	3	2	1	5	0	8	0	1	0	11	2	0	17	0	13	3	2	2	0	0	3
denovo995	1	0	0	0	0	0	3	0	0	0	5	0	0	0	0	1	0	0	0	2	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1
denovo1041	1	0	0	1	0	0	1	0	1	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	1	0	0	1	0	1	0
denovo1078	0	6	0	3	9	7	1	0	3	2	2	3	2	2	0	3	1	1	3	3	2	6	1	8	4	5	3	4	2	6	3	6	0	4	6	1	2	3	4	9	7	2
denovo1094	0	1	0	0	1	0	0	4	0	2	1	0	0	0	0	2	0	1	0	1	2	0	0	1	0	1	0	0	1	0	5	2	0	0	1	1	1	2	2	1	0	0
denovo1098	0	1	0	0	9	0	0	0	1	0	0	0	2	2	5	0	0	0	0	0	0	0	1	0	3	0	2	0	1	1	0	0	0	0	5	0	4	0	0	0	4	1
denovo1112	2	0	2	0	1	1	2	0	0	0	0	0	0	2	0	0	2	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	3	0	0	0	3	0	0
denovo1122	0	0	2	0	0	0	0	0	0	4	0	0	0	1	0	0	3	0	0	4	1	2	0	0	0	1	0	2	0	0	0	0	4	0	0	1	0	0	0	1	0	0
denovo1123	5	3	9	5	0	8	17	2	0	4	3	1	0	0	0	0	0	5	1	1	12	3	5	11	3	2	3	1	7	0	5	0	2	1	1	1	0	0	9	2	4	2
denovo1129	4	0	0	2	0	6	1	0	1	0	0	0	0	0	0	1	2	1	1	0	0	0	3	1	3	2	2	1	0	0	1	0	4	1	0	0	6	0	1	0	0	1
denovo1186	1	0	8	5	0	2	2	1	0	0	5	0	0	0	0	2	0	0	1	4	7	0	2	0	0	0	0	0	0	0	0	0	2	1	0	1	0	3	1	3	3	3
denovo1212	0	4	1	3	10	3	1	0	4	5	0	2	5	2	3	1	6	6	0	5	2	1	16	10	4	3	5	4	13	2	4	7	6	14	1	1	1	0	3	14	3	6
denovo1226	2	2	1	1	4	0	0	0	3	0	0	3	4	0	0	0	2	1	1	0	2	0	0	5	4	1	6	0	1	0	3	0	0	3	2	2	0	2	3	0	0	0
denovo1232	1	0	0	2	0	0	1	0	2	2	8	0	0	0	1	1	2	1	1	0	1	0	0	0	2	1	0	0	0	1	2	0	1	0	0	1	0	2	5	1	1	5
denovo1269	43	117	31	32	102	89	17	26	61	43	29	59	49	35	32	42	83	60	69	46	70	100	55	176	107	205	153	73	108	49	81	60	49	79	268	72	50	71	53	108	70	209
denovo1331	1	0	0	1	1	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	1	2	0	4	0	1	0	0	0	0	0	3	1	0	0	0	0	1	0	0
denovo1382	1	0	3	2	0	3	0	8	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	13	0	0	0	0	2	0	1	0	0
denovo1394	3	4	0	1	5	2	3	4	0	5	2	5	10	0	3	0	1	2	5	2	0	6	1	5	1	4	0	4	1	0	2	3	3	1	1	3	1	7	2	4	1	0
denovo1399	0	0	13	2	1	5	0	0	0	0	2	0	0	0	0	1	0	0	0	0	17	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	5	0	2	14
denovo1426	1	31	4	0	6	0	0	0	0	0	50	40	0	0	10	0	0	28	8	0	1	3	0	18	0	0	0	55	0	1	44	0	0	78	0	42	0	31	27	0	68	0
denovo1467	0	0	0	0	0	0	3	0	3	1	0	0	2	1	0	1	0	0	0	0	0	1	3	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0
denovo1472	209	248	88	213	325	269	224	101	181	332	61	340	314	223	154	463	132	465	453	100	213	174	378	331	302	292	173	128	261	232	135	879	260	160	137	163	132	147	263	615	415	193
denovo1483	0	2	0	0	3	0	3	6	0	0	1	21	12	5	7	2	3	4	2	8	4	1	7	3	1	4	0	4	3	6	2	10	10	0	1	2	4	1	2	0	8	2
denovo1496	1	0	0	0	0	0	13	0	0	0	19	0	0	4	1	0	4	0	1	0	2	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	1
denovo1515	10	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	1	0	4	0	0	2	0	3	0	0	2	1	2	4	0	0	0	0	2	0	0	0	1
denovo1559	3	1	0	2	3	0	2	0	1	0	0	1	0	2	1	1	1	0	1	0	2	0	7	0	3	0	2	0	0	0	0	0	0	3	3	0	0	0	0	4	7	3
denovo1561	5	0	3	7	0	3	18	0	35	19	1	2	7	10	0	20	34	6	0	0	19	15	18	2	0	8	5	4	7	3	3	8	7	0	11	8	24	0	13	12	5	0
denovo1592	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	1	2	1	0	0	4	5
denovo1597	0	7	0	6	20	17	0	5	4	2	2	4	0	0	4	1	0	5	7	19	1	9	9	6	0	0	6	13	17	8	8	3	10	5	24	10	7	2	6	7	10	13
denovo1636	0	0	0	0	2	2	2	0	3	0	0	2	2	2	1	0	4	0	0	1	2	3	0	1	7	0	9	0	10	0	0	0	2	1	0	3	1	2	1	0	2	5
denovo1719	2	1	0	1	4	0	1	0	0	0	3	0	0	0	3	1	2	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	2	3	2	3	0	0	1	2	1
denovo1727	3	0	0	2	0	1	0	2	0	0	2	0	7	0	4	0	0	2	2	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1
denovo1745	0	7	0	0	0	2	0	0	0	0	0	1	3	0	2	0	0	0	0	1	0	1	0	0	0	0	5	0	0	2	1	0	0	0	0	6	0	0	0	0	0	1
denovo1758	0	0	0	0	1	0	0	0	0	3	0	0	1	3	0	3	4	0	0	0	0	1	0	0	2	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	2	0
denovo1771	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	1	0	2	2	0	2	0	0	1	0	0	1	0	0	0	3	0	0	1	0	0	0	0	0	0	1
denovo1778	0	0	3	1	3	1	0	0	1	0	0	0	0	0	1	2	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	1	0	0	0	0	0	0	2
denovo1779	0	0	0	1	1	0	0	0	0	0	0	0	4	0	0	0	0	2	1	0	0	2	0	0	1	0	0	2	0	3	0	1	0	0	1	0	4	0	0	0	3	0
denovo1785	4	0	0	0	2	0	2	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	4	0	5	0	1	1	0	2	0	2	0	1	0	0	0	3	3	0
denovo1792	10	5	0	0	11	0	15	5	4	0	4	9	6	2	3	0	3	12	3	0	12	4	10	12	8	3	1	15	12	10	0	12	5	8	1	0	2	8	7	5	5	1
denovo1819	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	2	0	0	2	0	0	1	0
denovo1834	0	0	0	0	0	1	0	0	4	0	0	0	0	1	1	0	3	1	1	2	2	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	2	1	0	0	0
denovo1850	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	4	0	3	0	1	0	0	1	2	0	0	1	0	0	1	0	0	0	2	1	0	2	0	0	1	0	0
denovo1868	6	0	0	0	3	7	1	1	2	2	1	0	0	0	0	2	2	1	0	1	1	4	5	2	5	0	3	0	0	0	3	1	1	4	1	1	6	1	0	1	2	0
denovo1892	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	4	0	3	0	1	0	0	1	0	0	0	1	1	0	0	0	1	0	0	1	0	0
denovo1912	1	8	0	0	3	0	2	0	0	0	0	4	3	0	5	0	0	8	7	0	2	0	3	6	0	0	2	2	0	0	1	4	1	0	0	0	1	1	0	0	4	0
denovo1913	0	0	0	0	0	0	0	1	1	0	0	3	0	2	1	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	1	8	0	1	0	0	0	0	0	2	0	1
denovo1954	46	6	16	14	69	0	13	17	6	37	12	8	21	4	10	18	16	8	10	8	14	34	21	23	19	20	44	0	6	5	11	10	0	88	120	9	8	6	13	18	6	5
denovo1957	0	0	0	0	0	0	0	0	0	1	1	2	2	3	0	0	0	0	1	0	0	1	0	1	0	0	3	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0
denovo1961	6	0	1	0	0	0	0	4	0	0	3	0	0	0	0	0	2	0	1	0	1	2	0	1	0	7	0	0	4	0	0	2	10	3	2	0	1	0	1	5	0	0
denovo2010	0	1	0	0	1	3	3	0	0	0	0	0	1	3	0	0	0	0	0	0	0	2	1	2	0	0	2	0	5	0	2	0	0	0	0	0	0	0	0	0	0	3
denovo2023	3	0	0	2	0	1	0	6	1	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	3	0	1	1	1	1	3	2	0	0
denovo2058	4	0	0	0	0	5	1	1	3	0	0	1	0	0	1	0	1	1	1	2	0	1	2	3	4	1	1	0	0	1	0	0	1	5	2	0	5	0	2	1	0	0
denovo2070	0	5	0	3	19	12	0	1	14	8	5	2	4	6	0	2	4	1	2	4	0	3	0	2	7	6	5	0	2	0	5	0	1	8	2	2	0	8	11	4	4	2
denovo2101	2	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	2	0	0	1	0	3	0	0	0	0	1	0	1	0	0	0	0	2	0	0
denovo2132	0	1	5	4	2	1	3	2	2	0	4	0	0	0	0	0	0	0	1	5	3	1	0	0	0	0	0	0	0	0	3	0	3	1	0	0	0	0	1	3	0	1
denovo2150	0	0	4	1	0	0	1	0	3	0	0	0	3	2	0	1	6	0	0	6	8	6	3	0	0	1	3	1	2	3	0	2	0	0	4	0	3	0	0	8	1	0
denovo2165	0	1	0	4	0	2	0	0	1	1	0	4	0	2	0	0	0	0	0	0	0	2	3	5	3	0	0	3	0	3	0	5	0	4	0	2	1	1	2	0	9	0
denovo2189	145	64	83	155	3	0	0	15	25	7	83	31	5	87	26	4	0	9	23	46	6	61	0	57	0	138	31	112	0	2	35	0	4	7	56	6	102	106	119	0	8	0
denovo2200	2	0	3	0	0	0	0	1	0	0	4	0	0	1	0	0	0	0	1	2	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	9	0	0	0
denovo2210	0	0	0	0	0	1	0	1	0	2	4	0	0	0	0	0	1	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0
denovo2219	0	1	2	0	0	1	0	0	0	2	2	0	0	0	0	0	0	4	0	3	0	1	2	0	2	0	0	0	0	2	1	0	5	0	0	0	0	1	0	0	4	2
denovo2232	0	0	1	1	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	1	2	0	0	0	2	0	0	2	0	0	0
denovo2234	0	1	0	3	7	4	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	1	0	0	0	0	2	2	0	0	3	2	0	8	0	0	2	7	0	0	4
denovo2237	3	2	0	0	1	2	0	0	0	0	0	1	2	0	0	0	0	0	1	1	1	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	2
denovo2258	0	4	0	0	0	0	4	0	0	0	0	3	3	1	16	0	0	0	0	0	0	0	0	0	0	0	2	5	0	8	10	0	0	0	0	4	0	29	0	0	0	0
denovo2289	0	0	0	2	0	0	0	2	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	2	0	1	0	0	0	1	6	2
denovo2317	2	1	0	2	0	0	0	1	1	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	1
denovo2407	1	1	0	0	0	6	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	3	0	0	1	0	0	0	2	0	0	2	0	0	0	0	1	0	1	3
denovo2411	4	2	3	0	13	0	3	5	4	0	6	1	5	16	0	2	10	2	0	3	13	4	16	1	3	5	8	3	7	1	0	8	1	2	1	3	2	0	0	9	12	3
denovo2439	3	2	2	1	6	4	1	0	1	1	2	1	0	0	1	2	0	0	1	0	0	0	0	1	12	6	1	1	0	0	0	0	2	4	0	2	2	3	0	1	2	0
denovo2454	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	1	0	0	0	0	0	2	3	13	2	0	0	0	0	0	17	98	0	0
denovo2466	3	0	3	1	0	0	3	0	3	5	0	0	7	1	0	1	12	2	0	3	0	0	2	0	0	5	0	3	0	0	0	0	1	0	4	0	2	0	0	2	2	0
denovo2474	2	0	0	0	0	0	0	2	0	0	1	2	0	0	0	3	0	0	2	0	1	2	1	0	0	0	2	1	0	0	2	0	3	0	1	2	1	0	0	0	0	0
denovo2496	3	0	2	0	0	3	0	1	0	0	1	0	2	0	1	1	0	1	0	1	1	2	3	0	2	2	1	0	1	0	1	3	1	1	0	0	1	0	1	0	0	0
denovo2515	0	0	4	0	0	0	0	0	2	2	1	0	0	0	1	2	1	0	0	6	1	2	4	0	0	1	1	1	2	0	0	3	3	0	0	0	0	0	1	8	0	0
denovo2524	0	1	3	0	1	5	1	1	4	1	0	0	1	1	0	1	0	1	0	0	0	0	2	1	1	1	2	0	1	1	0	2	0	2	1	2	0	2	2	2	1	1
denovo2534	1	0	1	0	0	0	2	0	0	1	1	4	0	0	1	1	2	4	0	2	0	0	1	0	0	4	0	3	0	1	0	0	2	0	4	0	0	0	0	5	2	0
denovo2644	0	0	4	4	0	2	6	9	0	0	2	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
denovo2661	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	1	2	2	0	2	2	0	1	0	0	0
denovo2716	0	8	3	8	1	5	1	0	0	1	0	0	0	7	1	0	4	0	0	0	6	0	0	0	0	0	2	2	0	0	1	0	0	4	0	0	0	1	0	0	0	0
denovo2738	4	2	7	9	0	6	6	18	1	1	25	2	0	3	0	7	1	0	3	3	8	0	2	0	0	11	2	6	1	0	4	0	13	1	7	2	4	8	15	1	3	1
denovo2750	1	0	1	1	2	0	1	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0
denovo2765	1	0	0	0	0	8	1	0	1	0	1	1	1	0	0	1	0	0	0	0	0	1	3	2	1	1	0	1	1	0	0	1	5	2	1	0	1	1	0	0	1	1
denovo2869	6	1	5	11	1	29	1	0	5	0	0	6	2	0	4	0	10	5	2	10	3	2	1	1	9	2	2	0	4	3	11	1	2	8	2	12	3	1	3	4	2	2
denovo2889	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	2	2	0	1	0	1	1	0	1	2	1	0	0	0	0	2	3	2	0	0	0	0	6	0
denovo2895	3	0	1	1	6	0	0	1	5	0	0	2	1	1	5	0	2	0	0	1	0	1	9	0	1	0	0	4	1	0	0	0	2	0	0	1	2	0	0	2	10	1
denovo2906	0	0	0	1	0	3	0	0	3	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	9	3	4	0	3	0	2	0	3	5	0	1	0	3	4	5
denovo2930	0	0	0	3	0	1	0	0	1	0	0	0	0	2	4	0	0	2	0	4	0	0	0	0	1	0	6	3	0	0	2	0	0	0	0	0	0	0	1	0	5	0
denovo2931	5	4	1	5	2	1	3	2	2	0	0	7	10	1	3	1	4	1	0	3	6	1	9	7	5	4	0	1	12	0	6	3	7	9	0	8	8	5	5	0	1	9
denovo2941	1	6	9	4	8	12	3	2	4	5	1	10	0	3	1	4	2	3	3	2	1	6	1	12	7	2	0	0	8	1	6	7	3	3	5	0	1	6	3	3	11	4
denovo2975	2	0	0	0	13	4	0	5	6	18	0	1	0	1	0	0	22	3	2	3	2	6	4	8	1	1	0	0	0	0	0	0	2	26	5	0	2	0	4	4	0	6
denovo2976	3	0	2	2	6	10	2	0	4	1	1	1	0	1	0	3	1	1	2	0	4	1	3	3	1	2	3	0	0	1	1	1	2	3	2	2	5	1	2	1	3	1
denovo2987	5	3	9	3	0	9	4	3	0	3	2	1	0	0	5	3	0	5	9	2	31	0	2	0	2	0	7	8	3	0	1	0	0	0	0	0	0	1	18	0	1	4
denovo3045	0	2	0	1	1	1	0	2	0	0	0	2	6	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	4	0	0
denovo3091	0	0	2	0	0	0	0	0	3	3	0	0	0	1	0	1	0	0	0	0	0	0	3	0	0	1	0	0	0	1	0	1	2	0	2	1	0	0	0	1	0	0
denovo3115	0	2	1	0	1	3	0	0	0	0	0	0	0	4	0	0	0	1	1	4	1	1	2	2	0	0	0	0	0	0	2	0	1	5	0	0	0	5	1	1	11	2
denovo3121	0	1	2	1	0	0	0	0	2	0	0	0	1	0	2	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	3	3
denovo3124	0	1	2	0	3	2	0	1	0	1	0	2	1	0	0	0	0	0	1	1	0	3	0	2	2	2	1	1	1	0	0	2	3	0	0	0	1	0	1	1	3	1
denovo3166	0	0	1	3	0	3	0	0	1	3	0	0	0	2	0	1	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	2	1
denovo3186	1	0	1	0	0	1	1	3	2	0	0	0	0	0	0	5	12	0	1	0	2	0	1	0	0	2	2	0	0	2	0	1	0	1	1	0	0	0	1	4	3	0
denovo3189	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	2	4	0	1	1	5	0	0	0	0	0	1	0	0	3	0	0	3	1
denovo3192	0	0	2	0	2	0	2	0	1	0	0	0	0	4	0	0	0	3	0	0	1	0	0	0	1	0	1	0	1	0	3	0	1	1	0	0	0	0	3	0	0	0
denovo3214	6	1	4	4	7	13	3	4	2	3	3	1	1	0	1	6	3	0	3	4	3	5	5	2	8	6	6	1	2	1	1	4	3	4	0	3	8	5	6	2	5	3
denovo3224	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	2	2	0	0	1	4	0	2	3	0	4	0	0	1	0	0	0	0	0	0	0	2	3	2
denovo3307	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	2	0	0	2	0	1	2	0	1	0	0	0	1	1	0	0	0
denovo3319	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	0	0	0	0	0	1	2	0	1	0	0	0	0	0	3	0	2	0	0	3	1	7
denovo3325	0	0	0	1	4	1	0	0	2	0	0	0	4	0	0	0	1	0	0	0	0	0	1	0	3	0	2	1	0	1	2	1	0	1	0	2	0	2	0	0	1	0
denovo3329	0	2	0	0	3	0	0	4	0	1	1	0	0	5	6	1	2	2	0	3	1	0	2	1	0	1	5	1	3	1	1	0	1	2	6	0	0	2	0	0	4	0
denovo3344	3	1	1	1	2	3	2	1	1	1	1	1	0	0	2	0	0	0	1	1	0	0	5	3	2	1	1	0	2	1	0	1	1	1	0	1	6	0	0	0	0	1
denovo3383	74	2	134	13	2	59	108	104	0	36	65	6	20	9	26	78	9	22	7	11	19	15	5	3	17	49	29	53	21	5	28	2	59	0	35	3	99	43	4	204	60	3
denovo3411	0	0	0	0	0	0	0	0	2	1	0	0	3	3	0	3	2	2	0	12	1	0	2	0	0	0	0	1	3	0	0	0	0	0	1	0	3	0	2	1	1	0
denovo3434	0	0	1	0	0	0	0	1	2	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	2	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	2
denovo3467	2	1	0	4	0	2	4	0	0	4	0	3	1	3	1	0	0	1	2	0	2	2	0	4	0	2	3	0	3	0	6	0	0	8	3	0	2	0	1	5	0	2
denovo3502	0	4	0	0	0	2	0	12	1	0	0	0	0	0	4	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	4	0	0	2	0	1	1	2	0	0
