#OTU ID	J401	J402	J403	J404	J405	J406	J407	J408	J409	J410	J411	J412	J413	J414	J415	J416	J417	J418	J419	J420	J421	J422	J423	J424	J425	J426	J427	J428	J429	J430	J431	J432	J433	J434	J435	J436	J437	J438	J439	J440	J441	J442
denovo100874	4	1	0	3	2	1	0	0	2	1	0	0	1	1	1	0	0	0	2	1	1	1	0	1	6	0	3	0	0	1	0	0	0	4	2	0	4	3	0	0	0	1
denovo100910	1	0	0	0	3	2	2	0	2	0	0	2	0	1	2	3	1	2	2	0	1	0	5	1	4	0	0	0	0	0	2	0	1	3	0	2	2	1	1	1	1	1
denovo100927	2	1	0	3	1	3	0	4	0	3	0	0	1	0	0	4	0	0	0	1	0	0	0	0	0	1	2	1	0	0	2	0	2	2	2	0	0	0	0	0	1	0
denovo100946	0	4	0	2	0	0	0	0	0	0	0	3	11	0	5	0	0	8	4	8	1	5	0	0	6	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0
denovo101001	0	0	0	0	1	1	0	1	1	0	0	2	0	0	1	1	0	3	0	0	0	1	0	1	3	0	0	1	1	0	0	0	0	0	0	1	0	1	1	0	0	0
denovo101009	2	1	0	3	1	2	2	0	1	1	0	4	0	0	2	0	1	2	0	0	2	0	0	8	3	0	11	0	2	1	1	0	1	1	4	0	1	0	3	0	2	1
denovo101044	1	0	1	1	1	4	3	0	0	0	0	1	0	0	0	0	1	0	0	1	2	1	1	1	4	1	0	1	1	2	1	0	1	1	0	3	4	0	0	0	1	1
denovo101150	1	1	0	0	4	1	1	3	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	3	1	3	1	0	1	1	2	1	0	0	0	0	2	0	1	2	0
denovo101158	1	0	5	1	0	0	0	0	0	4	0	0	0	1	0	3	0	0	0	2	0	1	1	0	0	1	0	1	0	0	0	0	3	0	0	0	2	0	2	0	0	0
denovo101182	3	3	1	0	3	1	0	0	0	0	1	1	0	0	0	2	0	0	1	0	1	0	0	2	1	4	3	0	0	0	1	0	0	0	0	0	0	0	0	3	1	0
denovo101216	4	0	0	2	1	0	2	1	0	2	0	2	0	0	0	1	5	2	0	1	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
denovo101226	1	0	2	2	0	0	4	0	0	2	0	0	1	12	0	0	2	0	0	1	1	0	0	0	0	1	3	4	0	0	0	1	0	0	1	5	0	0	0	0	3	0
denovo101245	0	6	0	0	5	0	0	1	0	0	0	2	3	0	2	0	0	0	2	2	0	0	0	2	1	0	0	0	0	1	4	0	0	0	0	4	0	3	0	0	1	0
denovo101264	0	0	0	1	0	0	0	1	2	0	0	0	3	0	0	0	0	0	0	1	2	1	2	0	0	2	0	2	0	1	0	0	3	0	1	1	1	0	1	0	1	0
denovo101301	1	1	0	0	8	1	1	0	3	0	0	1	2	2	2	0	4	5	0	0	5	1	4	3	1	4	0	1	3	3	0	5	1	3	1	0	2	1	2	1	2	0
denovo101342	1	1	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	1	0	1	0	0	3	1	0	0	0	0	1	0	0	0	0	0	0	2	3	0	1
denovo101370	3	0	0	6	0	1	0	0	0	2	0	1	1	1	1	0	0	2	0	0	3	0	0	3	0	0	1	1	1	0	0	0	1	0	0	0	2	0	2	1	0	2
denovo101409	0	3	4	0	0	2	0	0	0	1	0	0	0	3	0	1	0	1	0	0	9	0	0	0	2	0	0	0	0	0	0	3	8	0	0	5	0	0	2	2	0	0
denovo101411	0	0	0	0	0	0	0	0	1	0	0	3	0	1	1	0	0	0	0	0	0	0	0	2	1	1	0	0	3	1	0	0	2	0	1	0	0	0	0	0	1	0
denovo101420	0	1	0	3	1	1	0	0	1	0	3	0	0	0	0	3	0	0	0	0	0	2	2	3	0	2	5	0	2	0	2	0	1	2	3	3	1	0	0	0	2	1
