#OTU ID	taxonomy	J401	J402	J403	J404	J405	J406	J407	J408	J409	J410	J411	J412	J413	J414	J415	J416	J417	J418	J419	J420	J421	J422	J423	J424	J425	J426	J427	J428	J429	J430	J431	J432	J433	J434	J435	J436	J437	J438	J439	J440	J441	J442
denovo55832	Unassigned	5	1	0	1	1	4	0	0	1	1	0	2	4	1	0	0	1	1	4	0	4	2	4	1	13	1	4	0	2	1	0	1	2	1	1	2	1	3	0	3	1	3
denovo55887	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	0	6	0	12	0	9	2	0	0	1	1	1	0	4	2	0	0	0	4	18	0	0	1	0	0	0	0	7	0	4	1	0	0	2	1	0	2	13	1	0	0	0
denovo55996	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__	0	0	2	0	0	0	0	0	1	0	0	0	0	2	0	0	4	0	1	3	0	2	0	2	0	0	3	1	0	0	0	0	0	1	1	4	0	0	0	0	0	2
denovo56022	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	1	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	1	1	3	0	0	0	1	0	0	2	0	0
denovo56036	Unassigned	1	1	0	0	1	4	2	0	1	0	0	1	1	0	0	2	3	0	0	0	1	1	3	1	2	0	3	1	0	1	0	4	2	4	1	0	3	1	0	1	2	1
denovo56069	Unassigned	4	0	2	0	2	3	0	0	1	0	0	0	0	0	1	0	0	2	0	0	2	1	4	0	4	1	3	1	1	0	1	1	1	1	0	0	2	2	1	0	2	1
denovo56105	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	1	0	0	0	5	4	0	0	0	0	0	0	1	0	0	1	1	0	1	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	3	0	1	0	1	3
denovo56167	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	1	0	0	0	0	0	1	5	2	2	0	0	0	0	0	7	1	0	0	2	1	2	3	1	0	0	0	1	0	2	0	0	1	0	2	0	2	1	0	0	0	3
denovo56182	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	0	0	22	2	1	0	0	0	0	0	0	38	4	0	0	0	0	0	0	0	0	13	0	0	11	0	0	0	0	1	18	0	2	0	0	0	2	139	28	0	2	1
denovo56195	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	3	0	0	0	0	0	0	1	1	6	2	1	6	7	16	0	3	131	0	6	17	3	0	1	0	12	0	1	0	0	5	32	3	0	0	4	0	8	0	5	8	5
