#OTU ID	taxonomy	J401	J402	J403	J404	J405	J406	J407	J408	J409	J410	J411	J412	J413	J414	J415	J416	J417	J418	J419	J420	J421	J422	J423	J424	J425	J426	J427	J428	J429	J430	J431	J432	J433	J434	J435	J436	J437	J438	J439	J440	J441	J442
denovo30	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__	7	2	8	16	0	3	18	4	5	6	17	8	1	4	1	13	5	4	5	9	8	3	3	4	5	20	2	2	2	3	5	2	13	5	1	1	3	12	10	16	4	2
denovo59	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	0	0	0	0	0	0	6	1	6	0	1	0	1	10	0	2	15	3	0	10	10	0	10	1	0	8	0	8	2	3	0	8	7	0	1	0	3	0	0	12	2	1
denovo70	Unassigned	0	1	0	0	0	1	1	1	2	0	0	0	0	3	3	0	0	1	4	1	0	0	0	0	0	0	1	0	0	3	1	0	0	0	0	5	0	0	0	0	0	0
denovo110	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__	1	2	1	7	1	3	0	5	2	0	1	1	0	4	0	2	4	0	5	0	1	5	0	0	0	0	7	3	12	3	0	3	3	2	15	9	2	5	2	2	12	10
denovo116	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__	0	0	4	0	0	2	2	0	0	2	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	2	0	0	2	0	0
denovo137	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__	0	2	0	0	0	2	0	0	3	0	0	0	1	0	0	0	0	0	3	2	0	0	0	0	0	0	2	3	1	2	0	0	0	3	1	0	0	0	3	3	4	3
denovo170	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Paraprevotellaceae]; g__Paraprevotella; s__	0	17	7	7	3	8	0	2	16	9	1	5	15	4	1	28	2	10	2	0	4	4	6	37	0	5	11	3	12	0	1	9	4	12	8	5	3	42	14	0	6	22
denovo187	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	4	22	1	14	6	6	0	0	1	4	9	0	5	10	0	0	0	9	0	6	0	1	0	0	0	0	0	0	0	0	7	0	1	0	0	0	0	5	1	0	0	0
denovo211	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__	0	0	2	0	0	3	0	1	2	0	0	2	0	0	3	0	1	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	1	1	2	1	1	2	0	0	6
denovo224	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	9	5	7	5	5	17	9	4	13	25	1	19	8	17	10	18	16	17	24	8	11	18	33	26	18	7	27	27	21	14	11	6	7	41	51	3	17	14	8	58	17	18
denovo231	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	1	0	1	0	0	0	3	0	1	0	0	0	0	0	0	1	2	0	2	0	0	0	0	2	0	0	2
denovo250	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	0	1	0	4	7	8	0	2	0	0	3	8	3	0	5	3	8	0	5	3	0	4	7	4	0	0	2	4	10	3	2	3	3	9	12	1	6	0	0	2	5	8
denovo259	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__	0	2	0	0	4	1	2	0	0	0	0	0	0	9	4	0	0	1	4	0	0	0	0	0	2	0	7	4	0	0	2	0	0	0	0	3	0	4	0	0	0	1
denovo307	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__	0	1	0	0	4	2	0	2	5	0	0	5	4	0	1	0	2	11	3	2	8	8	0	1	1	2	6	1	10	4	4	0	2	6	2	6	2	13	0	0	4	12
denovo330	Unassigned	3	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	3	0	4	0	0	1	2	1	9	0	2	0	1	0	0	1	0	1	0	0	1	1	0	1	1	1
denovo336	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	1	0	3	0	1	0	0	0	1	0	1	0	0	1	0	0	1
denovo364	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__	8	1	17	9	2	4	9	16	2	3	25	2	0	6	2	4	1	7	2	12	14	8	0	0	2	9	0	4	0	1	5	4	23	3	1	5	3	2	15	29	1	0
denovo406	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__	13	0	18	24	0	3	41	0	75	127	9	10	37	49	0	70	103	17	1	1	81	36	53	1	0	67	32	55	30	27	0	50	19	0	25	31	46	0	50	74	17	0
denovo481	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Dehalobacteriaceae; g__Dehalobacterium; s__	4	1	11	4	1	1	19	14	3	1	1	6	5	1	0	4	0	2	1	5	1	0	5	2	7	4	8	0	0	0	5	8	2	2	0	0	6	14	6	3	0	0
denovo486	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri	0	0	5	0	0	1	4	0	15	7	4	0	0	3	0	6	8	0	0	3	3	5	17	6	0	19	4	4	5	0	0	2	2	0	13	2	1	0	0	2	3	5
denovo505	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri	28	1	175	55	0	2	121	2	212	336	15	5	77	198	0	292	688	19	3	193	198	93	205	0	0	290	79	104	45	58	2	46	103	0	175	50	211	0	55	223	38	0
denovo517	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__; s__	1	2	0	0	5	1	3	0	2	0	0	0	2	0	1	0	0	2	0	0	1	2	0	1	2	2	2	2	0	0	3	1	1	0	0	3	0	0	5	0	0	0
denovo528	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__	14	4	11	7	6	10	44	23	4	14	22	4	0	1	5	25	6	1	6	6	5	9	2	7	4	39	1	8	0	0	3	2	8	4	6	0	4	5	18	19	11	7
denovo553	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__	0	4	0	3	0	1	1	1	0	0	4	2	0	0	5	0	0	0	3	2	0	0	1	0	1	0	1	1	0	0	0	0	0	2	0	5	4	0	2	2	0	3
denovo567	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	0	0	0	0	2	0	0	0	0	0	0	2	3	5	1	0	4	0	0	0	0	0	1	0	1	0	0	1	3	0	0	0	0	1	0	0	1	0	0	0	0	0
denovo628	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__	2	2	0	3	5	0	0	0	1	3	0	0	0	0	0	0	0	5	1	1	0	0	0	0	2	0	1	0	0	0	2	1	31	0	0	3	3	0	0	0	0	2
denovo634	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7	22	0	0	0	2	0	1	0	2	0	2	0	1	0	0	2	0	2	2	0	0	0	0	0	0	0
denovo646	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__Sutterella; s__	0	8	0	0	3	0	0	0	4	0	0	5	24	0	6	0	0	2	6	2	0	1	0	0	7	0	4	11	0	8	0	0	0	0	1	18	2	21	0	0	4	3
denovo650	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri	0	0	11	1	0	1	3	0	9	12	2	0	2	7	0	2	2	0	0	12	9	3	1	2	0	0	1	8	4	1	0	0	7	0	1	3	2	0	5	5	4	0
denovo703	Unassigned	4	0	0	0	1	0	1	0	2	0	2	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	6	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0
denovo732	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__	27	13	34	24	4	20	13	43	8	11	36	6	4	2	4	8	15	5	10	9	28	4	10	2	4	13	8	13	2	3	2	3	17	19	4	4	4	12	28	29	11	5
denovo790	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	2	2	0	0	0	2	0	0	2	0	0	0	0	0	2	1	0	0	0	0	0	3	0	3	2	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	2	1
denovo801	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__; s__	2	3	0	1	10	1	0	0	2	0	0	10	10	0	1	0	2	2	4	5	0	2	2	4	3	0	2	2	6	1	2	10	0	2	1	0	3	2	3	0	0	4
denovo802	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	0	6	4	1	1	7	0	2	2	1	0	1	0	0	2	0	0	0	0	0	2	1	0	5	2	0	0	4	10	3	3	6	0	11	0	0	0	5	0	0	3	2
denovo868	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	1	0	0	0	1	0	3	2	0	0	0	1	0	0	0	2	0	1	0	3	1	2	3	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0
denovo929	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__	0	0	3	0	0	0	1	0	2	1	0	1	1	0	0	0	2	0	1	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	2	0	2	0	0	0
denovo943	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__	0	0	0	0	0	2	1	3	0	0	0	0	0	0	1	0	1	1	2	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
denovo948	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	2	3	0	0	1	2	0	2	0	0	2	0	0	0	2	0	0	3	0	0	0	0	0	1	5	0	0
denovo950	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	1	3	0	1	0	0	0	3	0	0	1	0	0	0	0	0	0	0	3	1	0	2	0	1
denovo965	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	1	1	0	0	0	2	0	3	0	1	5	2	0	0	0	7	0	4	0	2	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	4	2	0	0	0	0	1
denovo992	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__	1	8	2	0	14	6	5	0	8	0	0	9	6	1	3	0	1	6	2	0	5	3	2	1	5	0	8	0	1	0	11	2	0	17	0	13	3	2	2	0	0	3
denovo995	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	1	0	0	0	0	0	3	0	0	0	5	0	0	0	0	1	0	0	0	2	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1
denovo1041	Unassigned	1	0	0	1	0	0	1	0	1	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	1	0	0	1	0	1	0
denovo1078	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__uniformis	0	6	0	3	9	7	1	0	3	2	2	3	2	2	0	3	1	1	3	3	2	6	1	8	4	5	3	4	2	6	3	6	0	4	6	1	2	3	4	9	7	2
denovo1094	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__	0	1	0	0	1	0	0	4	0	2	1	0	0	0	0	2	0	1	0	1	2	0	0	1	0	1	0	0	1	0	5	2	0	0	1	1	1	2	2	1	0	0
denovo1098	Unassigned	0	1	0	0	9	0	0	0	1	0	0	0	2	2	5	0	0	0	0	0	0	0	1	0	3	0	2	0	1	1	0	0	0	0	5	0	4	0	0	0	4	1
denovo1112	Unassigned	2	0	2	0	1	1	2	0	0	0	0	0	0	2	0	0	2	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	3	0	0	0	3	0	0
denovo1122	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri	0	0	2	0	0	0	0	0	0	4	0	0	0	1	0	0	3	0	0	4	1	2	0	0	0	1	0	2	0	0	0	0	4	0	0	1	0	0	0	1	0	0
denovo1123	Unassigned	5	3	9	5	0	8	17	2	0	4	3	1	0	0	0	0	0	5	1	1	12	3	5	11	3	2	3	1	7	0	5	0	2	1	1	1	0	0	9	2	4	2
denovo1129	Unassigned	4	0	0	2	0	6	1	0	1	0	0	0	0	0	0	1	2	1	1	0	0	0	3	1	3	2	2	1	0	0	1	0	4	1	0	0	6	0	1	0	0	1
denovo1186	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__	1	0	8	5	0	2	2	1	0	0	5	0	0	0	0	2	0	0	1	4	7	0	2	0	0	0	0	0	0	0	0	0	2	1	0	1	0	3	1	3	3	3
denovo1212	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	0	4	1	3	10	3	1	0	4	5	0	2	5	2	3	1	6	6	0	5	2	1	16	10	4	3	5	4	13	2	4	7	6	14	1	1	1	0	3	14	3	6
denovo1226	Unassigned	2	2	1	1	4	0	0	0	3	0	0	3	4	0	0	0	2	1	1	0	2	0	0	5	4	1	6	0	1	0	3	0	0	3	2	2	0	2	3	0	0	0
denovo1232	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__	1	0	0	2	0	0	1	0	2	2	8	0	0	0	1	1	2	1	1	0	1	0	0	0	2	1	0	0	0	1	2	0	1	0	0	1	0	2	5	1	1	5
denovo1269	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__uniformis	43	117	31	32	102	89	17	26	61	43	29	59	49	35	32	42	83	60	69	46	70	100	55	176	107	205	153	73	108	49	81	60	49	79	268	72	50	71	53	108	70	209
denovo1331	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__	1	0	0	1	1	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	1	2	0	4	0	1	0	0	0	0	0	3	1	0	0	0	0	1	0	0
denovo1382	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	1	0	3	2	0	3	0	8	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	13	0	0	0	0	2	0	1	0	0
denovo1394	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	3	4	0	1	5	2	3	4	0	5	2	5	10	0	3	0	1	2	5	2	0	6	1	5	1	4	0	4	1	0	2	3	3	1	1	3	1	7	2	4	1	0
denovo1399	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	0	0	13	2	1	5	0	0	0	0	2	0	0	0	0	1	0	0	0	0	17	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	5	0	2	14
denovo1426	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Odoribacteraceae]; g__Odoribacter; s__	1	31	4	0	6	0	0	0	0	0	50	40	0	0	10	0	0	28	8	0	1	3	0	18	0	0	0	55	0	1	44	0	0	78	0	42	0	31	27	0	68	0
denovo1467	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__	0	0	0	0	0	0	3	0	3	1	0	0	2	1	0	1	0	0	0	0	0	1	3	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0
denovo1472	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	209	248	88	213	325	269	224	101	181	332	61	340	314	223	154	463	132	465	453	100	213	174	378	331	302	292	173	128	261	232	135	879	260	160	137	163	132	147	263	615	415	193
denovo1483	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	0	2	0	0	3	0	3	6	0	0	1	21	12	5	7	2	3	4	2	8	4	1	7	3	1	4	0	4	3	6	2	10	10	0	1	2	4	1	2	0	8	2
denovo1496	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	1	0	0	0	0	0	13	0	0	0	19	0	0	4	1	0	4	0	1	0	2	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	1
denovo1515	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	10	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	1	0	4	0	0	2	0	3	0	0	2	1	2	4	0	0	0	0	2	0	0	0	1
denovo1559	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	3	1	0	2	3	0	2	0	1	0	0	1	0	2	1	1	1	0	1	0	2	0	7	0	3	0	2	0	0	0	0	0	0	3	3	0	0	0	0	4	7	3
denovo1561	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__	5	0	3	7	0	3	18	0	35	19	1	2	7	10	0	20	34	6	0	0	19	15	18	2	0	8	5	4	7	3	3	8	7	0	11	8	24	0	13	12	5	0
denovo1592	Unassigned	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	1	2	1	0	0	4	5
denovo1597	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	0	7	0	6	20	17	0	5	4	2	2	4	0	0	4	1	0	5	7	19	1	9	9	6	0	0	6	13	17	8	8	3	10	5	24	10	7	2	6	7	10	13
denovo1636	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	0	0	0	0	2	2	2	0	3	0	0	2	2	2	1	0	4	0	0	1	2	3	0	1	7	0	9	0	10	0	0	0	2	1	0	3	1	2	1	0	2	5
denovo1719	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Mogibacteriaceae]; g__; s__	2	1	0	1	4	0	1	0	0	0	3	0	0	0	3	1	2	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	2	3	2	3	0	0	1	2	1
denovo1727	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__	3	0	0	2	0	1	0	2	0	0	2	0	7	0	4	0	0	2	2	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1
denovo1745	Unassigned	0	7	0	0	0	2	0	0	0	0	0	1	3	0	2	0	0	0	0	1	0	1	0	0	0	0	5	0	0	2	1	0	0	0	0	6	0	0	0	0	0	1
denovo1758	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	0	0	0	0	1	0	0	0	0	3	0	0	1	3	0	3	4	0	0	0	0	1	0	0	2	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	2	0
denovo1771	Unassigned	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	1	0	2	2	0	2	0	0	1	0	0	1	0	0	0	3	0	0	1	0	0	0	0	0	0	1
denovo1778	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	0	0	3	1	3	1	0	0	1	0	0	0	0	0	1	2	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	1	0	0	0	0	0	0	2
denovo1779	Unassigned	0	0	0	1	1	0	0	0	0	0	0	0	4	0	0	0	0	2	1	0	0	2	0	0	1	0	0	2	0	3	0	1	0	0	1	0	4	0	0	0	3	0
denovo1785	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__	4	0	0	0	2	0	2	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	4	0	5	0	1	1	0	2	0	2	0	1	0	0	0	3	3	0
denovo1792	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__	10	5	0	0	11	0	15	5	4	0	4	9	6	2	3	0	3	12	3	0	12	4	10	12	8	3	1	15	12	10	0	12	5	8	1	0	2	8	7	5	5	1
denovo1819	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	2	0	0	2	0	0	1	0
denovo1834	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__	0	0	0	0	0	1	0	0	4	0	0	0	0	1	1	0	3	1	1	2	2	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	2	1	0	0	0
denovo1850	Unassigned	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	4	0	3	0	1	0	0	1	2	0	0	1	0	0	1	0	0	0	2	1	0	2	0	0	1	0	0
denovo1868	Unassigned	6	0	0	0	3	7	1	1	2	2	1	0	0	0	0	2	2	1	0	1	1	4	5	2	5	0	3	0	0	0	3	1	1	4	1	1	6	1	0	1	2	0
denovo1892	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	4	0	3	0	1	0	0	1	0	0	0	1	1	0	0	0	1	0	0	1	0	0
denovo1912	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	1	8	0	0	3	0	2	0	0	0	0	4	3	0	5	0	0	8	7	0	2	0	3	6	0	0	2	2	0	0	1	4	1	0	0	0	1	1	0	0	4	0
denovo1913	Unassigned	0	0	0	0	0	0	0	1	1	0	0	3	0	2	1	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	1	8	0	1	0	0	0	0	0	2	0	1
denovo1954	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__	46	6	16	14	69	0	13	17	6	37	12	8	21	4	10	18	16	8	10	8	14	34	21	23	19	20	44	0	6	5	11	10	0	88	120	9	8	6	13	18	6	5
denovo1957	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__	0	0	0	0	0	0	0	0	0	1	1	2	2	3	0	0	0	0	1	0	0	1	0	1	0	0	3	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0
denovo1961	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	6	0	1	0	0	0	0	4	0	0	3	0	0	0	0	0	2	0	1	0	1	2	0	1	0	7	0	0	4	0	0	2	10	3	2	0	1	0	1	5	0	0
denovo2010	Unassigned	0	1	0	0	1	3	3	0	0	0	0	0	1	3	0	0	0	0	0	0	0	2	1	2	0	0	2	0	5	0	2	0	0	0	0	0	0	0	0	0	0	3
denovo2023	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	3	0	0	2	0	1	0	6	1	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	3	0	1	1	1	1	3	2	0	0
denovo2058	Unassigned	4	0	0	0	0	5	1	1	3	0	0	1	0	0	1	0	1	1	1	2	0	1	2	3	4	1	1	0	0	1	0	0	1	5	2	0	5	0	2	1	0	0
denovo2070	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	0	5	0	3	19	12	0	1	14	8	5	2	4	6	0	2	4	1	2	4	0	3	0	2	7	6	5	0	2	0	5	0	1	8	2	2	0	8	11	4	4	2
denovo2101	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__	2	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	2	0	0	1	0	3	0	0	0	0	1	0	1	0	0	0	0	2	0	0
denovo2132	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__	0	1	5	4	2	1	3	2	2	0	4	0	0	0	0	0	0	0	1	5	3	1	0	0	0	0	0	0	0	0	3	0	3	1	0	0	0	0	1	3	0	1
denovo2150	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri	0	0	4	1	0	0	1	0	3	0	0	0	3	2	0	1	6	0	0	6	8	6	3	0	0	1	3	1	2	3	0	2	0	0	4	0	3	0	0	8	1	0
denovo2165	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	0	1	0	4	0	2	0	0	1	1	0	4	0	2	0	0	0	0	0	0	0	2	3	5	3	0	0	3	0	3	0	5	0	4	0	2	1	1	2	0	9	0
denovo2189	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__	145	64	83	155	3	0	0	15	25	7	83	31	5	87	26	4	0	9	23	46	6	61	0	57	0	138	31	112	0	2	35	0	4	7	56	6	102	106	119	0	8	0
denovo2200	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__	2	0	3	0	0	0	0	1	0	0	4	0	0	1	0	0	0	0	1	2	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	9	0	0	0
denovo2210	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__	0	0	0	0	0	1	0	1	0	2	4	0	0	0	0	0	1	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0
denovo2219	Unassigned	0	1	2	0	0	1	0	0	0	2	2	0	0	0	0	0	0	4	0	3	0	1	2	0	2	0	0	0	0	2	1	0	5	0	0	0	0	1	0	0	4	2
denovo2232	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__	0	0	1	1	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	1	2	0	0	0	2	0	0	2	0	0	0
